test_number,algorithm,map_name,num_dims,heuristic_time,search_time,num_solutions,time_limit,start,goal,n_generated,n_expanded,timeout,num_nondom_labels_max,num_nondom_labels_avg
1,boa,simple map 10 dims,10,0.0,1.876,426,600,1,64,2650,2024,0,-1.0,-1.0
1,emoa,simple map 10 dims,10,0.0,0.222,426,600,1,64,2650,2024,0,-1.0,-1.0
2,boa,simple map 10 dims,10,0.0,1.435,448,600,1,64,2358,1767,0,-1.0,-1.0
2,emoa,simple map 10 dims,10,0.0,0.21,448,600,1,64,2358,1767,0,-1.0,-1.0
3,boa,simple map 10 dims,10,0.0,4.635,793,600,1,64,3796,2705,0,-1.0,-1.0
3,emoa,simple map 10 dims,10,0.018,0.478,793,600,1,64,3796,2705,0,-1.0,-1.0
4,boa,simple map 10 dims,10,0.016,3.954,745,600,1,64,3638,2637,0,-1.0,-1.0
4,emoa,simple map 10 dims,10,0.0,0.308,745,600,1,64,3638,2637,0,-1.0,-1.0
5,boa,simple map 10 dims,10,0.0,4.888,909,600,1,64,3860,2681,0,-1.0,-1.0
5,emoa,simple map 10 dims,10,0.009,0.585,909,600,1,64,3860,2681,0,-1.0,-1.0
6,boa,simple map 10 dims,10,0.003,11.05,1362,600,1,64,6198,4453,0,-1.0,-1.0
6,emoa,simple map 10 dims,10,0.0,0.947,1362,600,1,64,6198,4453,0,-1.0,-1.0
7,boa,simple map 10 dims,10,0.0,2.9,646,600,1,64,3352,2559,0,-1.0,-1.0
7,emoa,simple map 10 dims,10,0.015,0.271,646,600,1,64,3352,2559,0,-1.0,-1.0
8,boa,simple map 10 dims,10,0.0,5.892,956,600,1,64,4141,2976,0,-1.0,-1.0
8,emoa,simple map 10 dims,10,0.0,0.509,956,600,1,64,4141,2976,0,-1.0,-1.0
9,boa,simple map 10 dims,10,0.006,8.135,1145,600,1,64,5013,3627,0,-1.0,-1.0
9,emoa,simple map 10 dims,10,0.006,0.853,1145,600,1,64,5013,3627,0,-1.0,-1.0
10,boa,simple map 10 dims,10,0.004,3.381,750,600,1,64,3481,2469,0,-1.0,-1.0
10,emoa,simple map 10 dims,10,0.0,0.424,750,600,1,64,3481,2469,0,-1.0,-1.0
11,boa,simple map 10 dims,10,0.001,2.394,512,600,1,64,2881,2214,0,-1.0,-1.0
11,emoa,simple map 10 dims,10,0.0,0.198,512,600,1,64,2881,2214,0,-1.0,-1.0
12,boa,simple map 10 dims,10,0.0,1.861,579,600,1,64,2415,1634,0,-1.0,-1.0
12,emoa,simple map 10 dims,10,0.007,0.233,579,600,1,64,2415,1634,0,-1.0,-1.0
13,boa,simple map 10 dims,10,0.0,1.4,442,600,1,64,2244,1579,0,-1.0,-1.0
13,emoa,simple map 10 dims,10,0.0,0.21,442,600,1,64,2244,1579,0,-1.0,-1.0
14,boa,simple map 10 dims,10,0.011,6.27,847,600,1,64,4613,3477,0,-1.0,-1.0
14,emoa,simple map 10 dims,10,0.0,0.668,847,600,1,64,4613,3477,0,-1.0,-1.0
15,boa,simple map 10 dims,10,0.003,3.124,667,600,1,64,3580,2688,0,-1.0,-1.0
15,emoa,simple map 10 dims,10,0.0,0.289,667,600,1,64,3580,2688,0,-1.0,-1.0
16,boa,simple map 10 dims,10,0.0,8.622,1096,600,1,64,4514,3203,0,-1.0,-1.0
16,emoa,simple map 10 dims,10,0.003,0.545,1096,600,1,64,4514,3203,0,-1.0,-1.0
17,boa,simple map 10 dims,10,0.0,0.459,300,600,1,64,1709,1263,0,-1.0,-1.0
17,emoa,simple map 10 dims,10,0.007,0.063,300,600,1,64,1709,1263,0,-1.0,-1.0
18,boa,simple map 10 dims,10,0.0,4.347,792,600,1,64,3601,2614,0,-1.0,-1.0
18,emoa,simple map 10 dims,10,0.0,0.431,792,600,1,64,3601,2614,0,-1.0,-1.0
19,boa,simple map 10 dims,10,0.0,3.125,533,600,1,64,3191,2497,0,-1.0,-1.0
19,emoa,simple map 10 dims,10,0.0,0.384,533,600,1,64,3191,2497,0,-1.0,-1.0
20,boa,simple map 10 dims,10,0.0,0.459,204,600,1,64,1315,1027,0,-1.0,-1.0
20,emoa,simple map 10 dims,10,0.0,0.07,204,600,1,64,1315,1027,0,-1.0,-1.0
21,boa,simple map 10 dims,10,0.0,0.895,331,600,1,64,1996,1475,0,-1.0,-1.0
21,emoa,simple map 10 dims,10,0.0,0.163,331,600,1,64,1996,1475,0,-1.0,-1.0
22,boa,simple map 10 dims,10,0.0,1.026,365,600,1,64,1854,1342,0,-1.0,-1.0
22,emoa,simple map 10 dims,10,0.015,0.11,365,600,1,64,1854,1342,0,-1.0,-1.0
23,boa,simple map 10 dims,10,0.015,2.666,566,600,1,64,2675,1955,0,-1.0,-1.0
23,emoa,simple map 10 dims,10,0.0,0.28,566,600,1,64,2675,1955,0,-1.0,-1.0
24,boa,simple map 10 dims,10,0.0,3.426,679,600,1,64,3308,2475,0,-1.0,-1.0
24,emoa,simple map 10 dims,10,0.0,0.331,679,600,1,64,3308,2475,0,-1.0,-1.0
25,boa,simple map 10 dims,10,0.0,1.355,313,600,1,64,1610,1205,0,-1.0,-1.0
25,emoa,simple map 10 dims,10,0.0,0.123,313,600,1,64,1610,1205,0,-1.0,-1.0
26,boa,simple map 10 dims,10,0.0,1.319,429,600,1,64,2275,1717,0,-1.0,-1.0
26,emoa,simple map 10 dims,10,0.002,0.146,429,600,1,64,2275,1717,0,-1.0,-1.0
27,boa,simple map 10 dims,10,0.001,2.85,515,600,1,64,3360,2674,0,-1.0,-1.0
27,emoa,simple map 10 dims,10,0.0,0.334,515,600,1,64,3360,2674,0,-1.0,-1.0
28,boa,simple map 10 dims,10,0.0,1.158,431,600,1,64,1844,1364,0,-1.0,-1.0
28,emoa,simple map 10 dims,10,0.0,0.108,431,600,1,64,1844,1364,0,-1.0,-1.0
29,boa,simple map 10 dims,10,0.013,19.912,1947,600,1,64,7598,5417,0,-1.0,-1.0
29,emoa,simple map 10 dims,10,0.0,1.766,1947,600,1,64,7598,5417,0,-1.0,-1.0
30,boa,simple map 10 dims,10,0.0,4.711,858,600,1,64,4177,3112,0,-1.0,-1.0
