test_number,algorithm,map_name,num_dims,heuristic_time,search_time,num_solutions,time_limit,start,goal,n_generated,n_expanded,timeout,num_nondom_labels_max,num_nondom_labels_avg
1,boa,simple map 10 dims,10,0.005,45.972,2767,600,1,64,11757,8476,0,-1.0,-1.0
1,emoa,simple map 10 dims,10,0.005,3.54,2767,600,1,64,11757,8476,0,-1.0,-1.0
2,boa,simple map 10 dims,10,0.0,28.17,2227,600,1,64,10411,7751,0,-1.0,-1.0
2,emoa,simple map 10 dims,10,0.013,2.961,2227,600,1,64,10411,7751,0,-1.0,-1.0
3,boa,simple map 10 dims,10,0.002,40.323,2507,600,1,64,10994,8034,0,-1.0,-1.0
3,emoa,simple map 10 dims,10,0.002,3.408,2507,600,1,64,10994,8034,0,-1.0,-1.0
4,boa,simple map 10 dims,10,0.0,22.653,1972,600,1,64,8716,6355,0,-1.0,-1.0
4,emoa,simple map 10 dims,10,0.0,2.296,1972,600,1,64,8716,6355,0,-1.0,-1.0
5,boa,simple map 10 dims,10,0.0,20.763,1678,600,1,64,8945,6906,0,-1.0,-1.0
5,emoa,simple map 10 dims,10,0.0,1.582,1678,600,1,64,8945,6906,0,-1.0,-1.0
6,boa,simple map 10 dims,10,0.0,34.707,2597,600,1,64,11161,8115,0,-1.0,-1.0
6,emoa,simple map 10 dims,10,0.0,3.509,2597,600,1,64,11161,8115,0,-1.0,-1.0
7,boa,simple map 10 dims,10,0.015,31.621,2352,600,1,64,10265,7484,0,-1.0,-1.0
7,emoa,simple map 10 dims,10,0.004,2.163,2352,600,1,64,10265,7484,0,-1.0,-1.0
8,boa,simple map 10 dims,10,0.0,17.01,1867,600,1,64,8637,6174,0,-1.0,-1.0
8,emoa,simple map 10 dims,10,0.0,1.745,1867,600,1,64,8637,6174,0,-1.0,-1.0
9,boa,simple map 10 dims,10,0.008,19.63,1795,600,1,64,8226,6028,0,-1.0,-1.0
9,emoa,simple map 10 dims,10,0.0,1.562,1795,600,1,64,8226,6028,0,-1.0,-1.0
10,boa,simple map 10 dims,10,0.0,22.323,2073,600,1,64,9254,6767,0,-1.0,-1.0
10,emoa,simple map 10 dims,10,0.002,2.603,2073,600,1,64,9254,6767,0,-1.0,-1.0
11,boa,simple map 10 dims,10,0.0,19.991,1963,600,1,64,8628,6349,0,-1.0,-1.0
11,emoa,simple map 10 dims,10,0.0,1.818,1963,600,1,64,8628,6349,0,-1.0,-1.0
12,boa,simple map 10 dims,10,0.0,37.097,2401,600,1,64,10652,7692,0,-1.0,-1.0
12,emoa,simple map 10 dims,10,0.0,2.478,2401,600,1,64,10652,7692,0,-1.0,-1.0
13,boa,simple map 10 dims,10,0.0,37.118,2575,600,1,64,11252,8226,0,-1.0,-1.0
13,emoa,simple map 10 dims,10,0.0,3.257,2575,600,1,64,11252,8226,0,-1.0,-1.0
14,boa,simple map 10 dims,10,0.011,24.964,2032,600,1,64,9118,6740,0,-1.0,-1.0
14,emoa,simple map 10 dims,10,0.0,2.466,2032,600,1,64,9118,6740,0,-1.0,-1.0
15,boa,simple map 10 dims,10,0.004,32.196,2445,600,1,64,10901,7925,0,-1.0,-1.0
15,emoa,simple map 10 dims,10,0.0,2.808,2445,600,1,64,10901,7925,0,-1.0,-1.0
16,boa,simple map 10 dims,10,0.0,33.849,2503,600,1,64,11190,7983,0,-1.0,-1.0
16,emoa,simple map 10 dims,10,0.001,2.48,2503,600,1,64,11190,7983,0,-1.0,-1.0
17,boa,simple map 10 dims,10,0.0,13.109,1627,600,1,64,7373,5374,0,-1.0,-1.0
17,emoa,simple map 10 dims,10,0.0,1.388,1627,600,1,64,7373,5374,0,-1.0,-1.0
18,boa,simple map 10 dims,10,0.0,20.203,1864,600,1,64,8867,6461,0,-1.0,-1.0
18,emoa,simple map 10 dims,10,0.0,1.734,1864,600,1,64,8867,6461,0,-1.0,-1.0
19,boa,simple map 10 dims,10,0.015,34.156,2417,600,1,64,10316,7554,0,-1.0,-1.0
19,emoa,simple map 10 dims,10,0.0,2.712,2417,600,1,64,10316,7554,0,-1.0,-1.0
20,boa,simple map 10 dims,10,0.0,35.59,2476,600,1,64,10970,8013,0,-1.0,-1.0
20,emoa,simple map 10 dims,10,0.0,3.626,2476,600,1,64,10970,8013,0,-1.0,-1.0
21,boa,simple map 10 dims,10,0.0,22.268,2008,600,1,64,9792,7263,0,-1.0,-1.0
21,emoa,simple map 10 dims,10,0.0,1.863,2008,600,1,64,9792,7263,0,-1.0,-1.0
22,boa,simple map 10 dims,10,0.0,36.746,2485,600,1,64,10889,7863,0,-1.0,-1.0
