test_number,algorithm,map_name,num_dims,time_limit,start,goal,n_generated,n_expanded,heuristic_time,search_time,timeout,num_nondom_labels_max,num_nondom_labels_avg,num_solutions,solutions_labels
28,boa,simple map 3 dims,3,600,1,169,2343,1774,0.0,0.047,0,-1.0,-1.0,104,"dict_keys([6805, 6762, 6683, 6630, 6608, 6856, 6602, 6599, 6580, 6811, 6557, 6531, 6371, 6315, 6268, 6206, 6156, 6102, 5996, 6567, 5805, 6814, 5798, 5780, 5773, 5715, 5700, 2731, 2907, 2356, 232, 2098, 5874, 2953, 3720, 1938, 3413, 6417, 5655, 1532, 6577, 1243, 908, 6374, 1421, 1089, 6611, 2801, 1989, 6063, 3523, 1120, 3952, 102, 751, 6673, 450, 537, 6829, 1876, 716, 4771, 6605, 2160, 255, 806, 3325, 1003, 3416, 6241, 145, 3447, 6121, 3454, 6680, 5791, 3251, 3505, 4921, 6808, 5157, 3535, 4125, 6159, 5905, 2984, 3619, 4504, 5389, 3858, 4620, 6564, 4024, 4132, 6574, 4161, 1879, 4292, 5472, 3735, 4497, 5002, 1821, 5123])"
11,emoa,simple map 3 dims,3,600,1,169,9280,6692,0.016,0.127,0,-1.0,-1.0,302,"dict_keys([26170, 26148, 26139, 26086, 26047, 26031, 26015, 25981, 25939, 25859, 25789, 25782, 25752, 25679, 25654, 25643, 25553, 25515, 25512, 26038, 25497, 25378, 25347, 25344, 25263, 25256, 25130, 25127, 25104, 25017, 24969, 12916, 18570, 23347, 12161, 853, 21927, 11459, 10879, 23447, 10213, 13329, 26158, 11551, 10154, 10072, 21380, 9969, 12404, 25011, 9322, 20373, 10287, 24165, 9017, 8765, 15149, 10821, 15110, 21535, 8742, 13074, 9645, 8101, 10671, 7978, 7612, 7561, 7510, 17019, 25894, 12369, 15196, 7289, 21167, 7246, 2620, 7033, 21969, 2988, 21492, 5864, 2899, 21660, 5801, 1483, 19473, 21111, 11703, 8375, 2965, 1870, 7155, 1440, 412, 19430, 20725, 152, 923, 18913, 11501, 23316, 25912, 4813, 191, 25837, 12853, 19547, 21946, 22460, 242, 4313, 2185, 20579, 11561, 18243, 22612, 18004, 18775, 11837, 22116, 385, 2934, 5247, 904, 18637, 3058, 5114, 5348, 946, 6003, 2216, 24061, 19926, 20954, 24809, 1996, 26151, 5052, 10260, 14047, 1917, 15294, 21786, 24491, 1163, 25221, 1417, 16323, 26025, 8172, 3093, 3389, 7864, 3536, 12035, 3907, 9530, 13900, 24179, 25709, 4069, 6806, 8970, 3019, 4002, 4543, 10597, 18712, 2482, 4646, 4832, 22565, 22822, 24107, 26182, 5083, 5145, 8911, 9356, 2864, 11520, 2051, 5297, 17070, 10037, 11660, 5564, 19604, 16358, 25518, 5501, 15239, 10370, 26097, 7703, 1104, 4891, 20039, 5671, 13734, 13805, 14404, 14580, 14665, 6260, 19785, 4096, 14916, 18874, 15087, 15586, 15629, 13568, 7076, 15732, 15754, 1214, 15821, 12995, 23274, 24816, 16225, 26123, 16385, 22039, 16440, 1085, 17315, 17457, 12180, 6229, 17590, 23568, 17617, 24677, 17644, 17746, 23914, 14510, 17756, 26142, 20191, 22896, 9728, 17843, 17194, 19899, 18106, 12810, 4154, 18220, 20533, 24360, 19050, 19085, 19274, 20140, 23386, 19682, 17532, 24565, 20009, 4131, 23607, 20622, 21064, 6586, 21193, 5228, 21458, 13475, 21590, 23646, 12791, 21988, 22175, 22388, 22446, 16015, 22507, 22962, 23184, 23441, 23239, 2086, 20480, 24267, 23840, 18449, 23859, 9246, 24394, 24456, 9931, 22915, 24538, 11786, 2589, 24770, 24843, 24927])"
19,boa,simple map 3 dims,3,600,1,169,3031,2333,0.0,0.062,0,-1.0,-1.0,123,"dict_keys([8937, 8927, 8889, 8829, 8593, 8580, 8534, 8470, 8356, 8242, 7762, 7527, 7486, 6955, 8192, 6795, 7906, 6763, 6673, 6607, 6381, 8452, 6293, 6232, 6163, 5815, 5787, 5660, 5638, 5546, 5514, 5253, 5085, 6283, 4886, 4716, 5377, 4361, 461, 3411, 2236, 7097, 2144, 4620, 1318, 2408, 3678, 7749, 3812, 2782, 1356, 2043, 6693, 2502, 89, 7280, 3216, 395, 1616, 869, 1123, 909, 1671, 1149, 4040, 229, 1404, 3056, 7796, 3351, 5955, 621, 7150, 4610, 4102, 691, 1576, 4963, 2169, 139, 4242, 1067, 7440, 7059, 2614, 7707, 1484, 2754, 6200, 2898, 2434, 3069, 6013, 3600, 1747, 3271, 3296, 3591, 6731, 3302, 2944, 277, 3579, 8903, 2680, 3696, 3956, 7314, 5155, 4012, 5410, 4140, 8619, 7222, 4555, 4174, 2354, 4259, 5440, 4297, 6351, 6097, 4319])"
30,emoa,simple map 3 dims,3,600,1,169,4431,3253,0.0,0.063,0,-1.0,-1.0,207,"dict_keys([12321, 12315, 12234, 12431, 12174, 12078, 12043, 12033, 11949, 11811, 11617, 11524, 11474, 11443, 11346, 11263, 11237, 10910, 10836, 10778, 10538, 10519, 10467, 10192, 10105, 10067, 12231, 9918, 12303, 9476, 9453, 9295, 9100, 9057, 12244, 8903, 8900, 11340, 8770, 8659, 8629, 8564, 8426, 8405, 10601, 8288, 12425, 8570, 2916, 4132, 8441, 2530, 1768, 4943, 11849, 7737, 3984, 3607, 3353, 4015, 3761, 4054, 713, 2835, 1946, 2546, 2361, 5860, 10327, 818, 4501, 2306, 2399, 5447, 12156, 1105, 2123, 9423, 8652, 2227, 1456, 8913, 689, 3002, 4143, 288, 3218, 134, 7113, 5543, 10678, 655, 3225, 98, 5432, 92, 861, 2698, 128, 899, 11551, 2042, 9989, 4849, 8408, 8151, 2028, 1257, 4432, 1319, 7415, 12410, 4186, 588, 11189, 2708, 6049, 1848, 11049, 6166, 6547, 1875, 2177, 1406, 4490, 4564, 10333, 5707, 4752, 4770, 4982, 10655, 5001, 5074, 9035, 5180, 3638, 6979, 5191, 9847, 5221, 5336, 12081, 8226, 5399, 5410, 240, 7950, 390, 5530, 9503, 6419, 4390, 5675, 6056, 12437, 12180, 11923, 9353, 2671, 2157, 5755, 6163, 6173, 6935, 7697, 728, 6382, 7026, 6512, 6519, 2474, 6586, 7475, 6662, 6797, 12309, 7940, 10716, 4291, 6861, 11995, 4542, 7369, 6920, 5657, 6942, 7200, 3095, 1039, 7207, 11972, 7346, 2841, 7981, 10505, 7421, 7472, 11151, 7553, 7666, 7716, 11502, 7904, 3549, 7918, 8087])"
18,emoa,simple map 3 dims,3,600,1,169,2912,1905,0.0,0.042,0,-1.0,-1.0,157,"dict_keys([7340, 7282, 7279, 7192, 7153, 7146, 7140, 7137, 7127, 7076, 7033, 6997, 6884, 6814, 2943, 3197, 2893, 480, 2875, 1798, 2718, 2845, 3097, 7030, 2661, 3127, 2537, 4442, 6966, 3368, 2438, 2085, 2019, 7027, 2658, 245, 1891, 1383, 5955, 1751, 1722, 6548, 673, 3177, 1526, 6225, 6352, 522, 725, 291, 5625, 683, 5873, 1205, 7325, 5269, 5523, 272, 2310, 127, 5080, 680, 4667, 1063, 1880, 5035, 2264, 722, 6437, 856, 6571, 528, 1042, 2092, 6288, 1148, 5974, 2444, 1159, 4715, 7143, 5858, 1548, 2062, 1649, 6751, 1354, 2740, 3183, 1986, 6612, 7130, 6873, 3532, 3559, 7186, 3588, 6796, 2684, 3969, 6255, 3598, 6265, 1567, 3880, 3972, 6574, 6407, 5797, 4255, 5398, 5652, 7172, 4345, 4407, 222, 4591, 7183, 2814, 4613, 4673, 82, 4708, 4248, 4762, 1464, 4034, 4805, 5948, 6713, 3886, 6456, 7189, 4876, 5427, 5211, 7343, 5287, 5430, 5699, 5807, 1202, 6085, 192, 6103, 6218, 2733, 5046, 6331, 6585, 6346, 6349, 6778, 6521, 447, 6615, 6638])"
36,boa,simple map 3 dims,3,600,1,169,4067,2756,0.0,0.078,0,-1.0,-1.0,155,"dict_keys([10636, 10630, 10621, 10599, 10582, 10573, 10567, 10561, 10526, 10512, 10506, 10447, 10424, 10418, 10412, 10393, 10362, 10345, 8662, 5060, 5025, 2993, 10473, 707, 4560, 750, 4058, 3677, 4040, 4005, 3696, 10608, 5211, 4583, 3639, 2242, 3428, 3414, 8875, 3360, 10489, 3293, 1642, 6722, 4616, 171, 2199, 675, 8676, 416, 8036, 4747, 3024, 9192, 4334, 10303, 381, 6939, 1104, 10654, 5257, 2430, 4778, 10263, 9749, 353, 1339, 5784, 6419, 7816, 3947, 6916, 2804, 10645, 5762, 10254, 157, 7777, 4542, 9682, 849, 7636, 10206, 1959, 885, 2875, 562, 6473, 7282, 604, 1375, 90, 2856, 6045, 10535, 6680, 6083, 5106, 2793, 6134, 6391, 10546, 6434, 6463, 6695, 9362, 6992, 7177, 9011, 9525, 2586, 7212, 7247, 10041, 9575, 7262, 4311, 7395, 9173, 10322, 9808, 7433, 7467, 7654, 9432, 10371, 10114, 8058, 10217, 8230, 551, 8261, 8468, 8818, 8887, 10030, 8996, 6756, 9069, 10495, 9210, 3066, 9491, 9581, 9664, 3990, 9901, 9907, 6457, 10055, 342, 10108, 5095, 983, 10235])"
39,emoa,simple map 3 dims,3,600,1,169,2916,2086,0.0,0.047,0,-1.0,-1.0,123,"dict_keys([8013, 7982, 7961, 7938, 7634, 7952, 7698, 7571, 7526, 7363, 7354, 7244, 7154, 7128, 6979, 6941, 6931, 7729, 6840, 6819, 6802, 6788, 6534, 6319, 6043, 6014, 7385, 5988, 7827, 5922, 6478, 5843, 5725, 5440, 5415, 5409, 5375, 5191, 5184, 5172, 2665, 2346, 3241, 6281, 5011, 2002, 2256, 6381, 1936, 1682, 384, 7520, 2567, 2609, 3659, 4662, 91, 975, 8007, 514, 7894, 6878, 1163, 2380, 7755, 2675, 5207, 2032, 4928, 1626, 5640, 814, 5658, 1594, 1213, 832, 7814, 3369, 861, 6895, 3339, 875, 1719, 1465, 5245, 4356, 5876, 5622, 1431, 2701, 6113, 4589, 7796, 5129, 5002, 220, 3014, 3781, 7921, 3603, 7881, 6103, 4960, 7681, 3617, 3834, 1608, 4021, 4149, 4159, 2297, 4329, 7671, 2591, 4369, 3924, 4559, 4720, 7720, 5053, 6512, 3591, 5115])"
49,emoa,simple map 3 dims,3,600,1,169,6307,4836,0.0,0.099,0,-1.0,-1.0,255,"dict_keys([18575, 18569, 18563, 18526, 18520, 18506, 18492, 18453, 18427, 18372, 18366, 18327, 18297, 18148, 18058, 18020, 17980, 17942, 18317, 17803, 17777, 17675, 18407, 17636, 18401, 17630, 17584, 17491, 17445, 17369, 17190, 17019, 17155, 16898, 16881, 16860, 16853, 16547, 16521, 16374, 18252, 16196, 15907, 15866, 15551, 15431, 15421, 15286, 16689, 15147, 14924, 14379, 14296, 14226, 14199, 14103, 17908, 14053, 18413, 14044, 16668, 13841, 16783, 13699, 13543, 18273, 13390, 13384, 13331, 17876, 13250, 18486, 13089, 12824, 14834, 12778, 7213, 4740, 5175, 4570, 18206, 4585, 267, 18158, 8649, 10427, 4349, 1555, 3827, 3798, 12953, 1131, 1385, 3761, 18002, 5666, 9603, 1964, 17695, 2275, 18222, 3059, 15093, 6869, 2887, 8094, 4721, 2420, 15561, 12220, 1210, 18212, 17184, 4334, 8703, 2672, 928, 5202, 18091, 14236, 1900, 18557, 5964, 3302, 765, 528, 1195, 17528, 5192, 708, 16090, 413, 7906, 4972, 15441, 2848, 18037, 16238, 15210, 1332, 12938, 4714, 8016, 9286, 1941, 2405, 15718, 4667, 3639, 2369, 6749, 134, 391, 11956, 4281, 12963, 1655, 3742, 9910, 85, 6250, 16991, 543, 2865, 16069, 5532, 18532, 14677, 5682, 17025, 16511, 5717, 9542, 8257, 14141, 10543, 16557, 13987, 12702, 6060, 1678, 6304, 9987, 17886, 16344, 6321, 17681, 6630, 11669, 875, 6786, 6859, 7247, 1094, 7262, 16599, 14286, 10945, 17574, 5238, 7551, 8119, 10278, 8158, 2831, 8228, 16494, 9041, 1614, 9067, 13621, 9252, 17244, 282, 9277, 3292, 9717, 10606, 14656, 9773, 3672, 9840, 12253, 10107, 10257, 16278, 10367, 1161, 5787, 10413, 10482, 16020, 10623, 10764, 10891, 12415, 10837, 18287, 17002, 11091, 18168, 15855, 14313, 4290, 11229, 11347, 16272, 15244, 11389, 17411, 15869, 12014, 12243, 5054, 12764])"
16,emoa,simple map 3 dims,3,600,1,169,3226,2377,0.0,0.044,0,-1.0,-1.0,156,"dict_keys([9051, 9045, 9039, 9033, 9012, 9006, 8991, 8980, 8974, 8945, 8930, 8924, 8921, 8900, 8878, 8869, 8862, 8856, 8832, 8826, 8811, 6241, 8019, 6080, 4810, 5625, 5386, 8561, 5240, 7018, 7145, 5159, 7953, 4753, 4245, 9018, 5420, 8951, 213, 6817, 6363, 8906, 8649, 4503, 5646, 4438, 3089, 6645, 5457, 1327, 1073, 1008, 9030, 7231, 1617, 7332, 1218, 6679, 2047, 2428, 1958, 8915, 3004, 8793, 7114, 3362, 8696, 4364, 8957, 7158, 5985, 8555, 588, 3488, 4955, 3670, 9024, 543, 1686, 3726, 363, 3791, 4934, 8744, 310, 5180, 165, 3605, 1772, 6725, 96, 5862, 2617, 7824, 2943, 8493, 7979, 6326, 6503, 1925, 6551, 4232, 7059, 8632, 665, 6576, 5022, 7592, 6589, 6716, 5895, 6666, 1739, 6879, 7264, 7376, 7405, 7507, 7651, 8600, 4405, 7489, 7746, 7811, 1380, 8319, 7966, 3407, 6748, 8033, 8043, 8805, 8072, 8580, 8198, 8706, 7711, 8225, 8606, 4171, 8283, 8289, 4712, 8310, 6105, 8418, 8672, 8427, 7422, 8450, 8997, 6941, 8483, 8591, 8686, 8771])"
48,emoa,simple map 3 dims,3,600,1,169,4616,3527,0.015,0.063,0,-1.0,-1.0,225,"dict_keys([13846, 13835, 13824, 13813, 13777, 13744, 13700, 13697, 13694, 13609, 13606, 13548, 13453, 13422, 13377, 13350, 13315, 13268, 13265, 13479, 13222, 13211, 13173, 13143, 13643, 13129, 13079, 13068, 12988, 12840, 13849, 12821, 12772, 12753, 13722, 12694, 12627, 12541, 13494, 12209, 13411, 12126, 12024, 11865, 11754, 13656, 11600, 11559, 11263, 13758, 11188, 12814, 11015, 10849, 10846, 11585, 4646, 11890, 4437, 6228, 11993, 4026, 2756, 11388, 851, 5423, 12977, 12463, 3725, 3359, 3018, 12075, 10276, 12584, 7958, 2324, 8674, 9309, 3386, 4157, 5046, 2783, 2269, 12506, 10964, 2226, 5655, 11306, 5909, 1215, 4390, 13860, 753, 10532, 714, 2059, 1410, 4623, 552, 13799, 11743, 1977, 178, 10458, 1683, 159, 1429, 3987, 7627, 3441, 10253, 1258, 8878, 555, 12867, 3872, 13649, 6710, 13755, 391, 9662, 12392, 313, 3572, 13054, 5858, 858, 9875, 11093, 2098, 13456, 92, 13513, 12999, 2976, 13571, 8945, 1383, 13628, 2834, 13122, 1300, 11574, 780, 1714, 10477, 1942, 1293, 4335, 10760, 1765, 2550, 2036, 4824, 4761, 10158, 5007, 13065, 8182, 2519, 977, 5089, 1196, 5308, 11871, 5960, 5446, 5485, 13788, 9162, 5564, 388, 6042, 12803, 6121, 4488, 6287, 6330, 7981, 3065, 10775, 13802, 6349, 7476, 10303, 6448, 6675, 13188, 10104, 13170, 7002, 6745, 6872, 13404, 12890, 6979, 13683, 7515, 13741, 7573, 9403, 7604, 8112, 8261, 8584, 8631, 11034, 497, 8721, 13646, 13132, 9020, 4196, 9336, 10733, 9837, 13711, 7029, 9856, 9131, 9902, 11868, 10069, 10683, 10714])"
