test_number,algorithm,map_name,num_dims,time_limit,start,goal,n_generated,n_expanded,heuristic_time,search_time,timeout,num_nondom_labels_max,num_nondom_labels_avg,num_solutions
1,boa,simple map 3 dims,3,600,1,169,2715,1948,0.0,0.062,0,-1.0,-1.0,115
1,emoa,simple map 3 dims,3,600,1,169,2715,1948,0.0,0.031,0,-1.0,-1.0,115
2,boa,simple map 3 dims,3,600,1,169,2177,1582,0.0,0.044,0,-1.0,-1.0,125
2,emoa,simple map 3 dims,3,600,1,169,2177,1582,0.0,0.031,0,-1.0,-1.0,125
3,boa,simple map 3 dims,3,600,1,169,2930,2210,0.0,0.079,0,-1.0,-1.0,164
3,emoa,simple map 3 dims,3,600,1,169,2930,2210,0.004,0.032,0,-1.0,-1.0,164
4,boa,simple map 3 dims,3,600,1,169,1763,1299,0.0,0.028,0,-1.0,-1.0,88
4,emoa,simple map 3 dims,3,600,1,169,1763,1299,0.0,0.032,0,-1.0,-1.0,88
5,boa,simple map 3 dims,3,600,1,169,1471,1021,0.0,0.039,0,-1.0,-1.0,84
5,emoa,simple map 3 dims,3,600,1,169,1471,1021,0.0,0.016,0,-1.0,-1.0,84
6,boa,simple map 3 dims,3,600,1,169,2640,2006,0.0,0.068,0,-1.0,-1.0,122
6,emoa,simple map 3 dims,3,600,1,169,2640,2006,0.0,0.046,0,-1.0,-1.0,122
7,boa,simple map 3 dims,3,600,1,169,1634,1263,0.0,0.032,0,-1.0,-1.0,79
7,emoa,simple map 3 dims,3,600,1,169,1634,1263,0.0,0.015,0,-1.0,-1.0,79
8,boa,simple map 3 dims,3,600,1,169,1613,1157,0.0,0.032,0,-1.0,-1.0,101
8,emoa,simple map 3 dims,3,600,1,169,1613,1157,0.003,0.021,0,-1.0,-1.0,101
9,boa,simple map 3 dims,3,600,1,169,3782,2854,0.0,0.111,0,-1.0,-1.0,212
9,emoa,simple map 3 dims,3,600,1,169,3782,2854,0.0,0.063,0,-1.0,-1.0,212
10,boa,simple map 3 dims,3,600,1,169,4033,3378,0.0,0.157,0,-1.0,-1.0,254
10,emoa,simple map 3 dims,3,600,1,169,4033,3378,0.0,0.063,0,-1.0,-1.0,254
11,boa,simple map 3 dims,3,600,1,169,1919,1195,0.0,0.03,0,-1.0,-1.0,82
11,emoa,simple map 3 dims,3,600,1,169,1919,1195,0.0,0.013,0,-1.0,-1.0,82
12,boa,simple map 3 dims,3,600,1,169,4659,3533,0.0,0.142,0,-1.0,-1.0,294
12,emoa,simple map 3 dims,3,600,1,169,4659,3533,0.0,0.063,0,-1.0,-1.0,294
13,boa,simple map 3 dims,3,600,1,169,1855,1433,0.0,0.053,0,-1.0,-1.0,89
13,emoa,simple map 3 dims,3,600,1,169,1855,1433,0.0,0.021,0,-1.0,-1.0,89
14,boa,simple map 3 dims,3,600,1,169,1166,878,0.001,0.015,0,-1.0,-1.0,64
14,emoa,simple map 3 dims,3,600,1,169,1166,878,0.0,0.026,0,-1.0,-1.0,64
15,boa,simple map 3 dims,3,600,1,169,2905,2044,0.0,0.059,0,-1.0,-1.0,168
15,emoa,simple map 3 dims,3,600,1,169,2905,2044,0.0,0.047,0,-1.0,-1.0,168
16,boa,simple map 3 dims,3,600,1,169,536,391,0.0,0.0,0,-1.0,-1.0,33
16,emoa,simple map 3 dims,3,600,1,169,536,391,0.0,0.006,0,-1.0,-1.0,33
17,boa,simple map 3 dims,3,600,1,169,1450,1126,0.0,0.031,0,-1.0,-1.0,70
17,emoa,simple map 3 dims,3,600,1,169,1450,1126,0.0,0.015,0,-1.0,-1.0,70
18,boa,simple map 3 dims,3,600,1,169,2014,1546,0.0,0.043,0,-1.0,-1.0,97
18,emoa,simple map 3 dims,3,600,1,169,2014,1546,0.0,0.016,0,-1.0,-1.0,97
19,boa,simple map 3 dims,3,600,1,169,1456,948,0.0,0.014,0,-1.0,-1.0,83
19,emoa,simple map 3 dims,3,600,1,169,1456,948,0.0,0.015,0,-1.0,-1.0,83
20,boa,simple map 3 dims,3,600,1,169,2086,1657,0.004,0.059,0,-1.0,-1.0,107
20,emoa,simple map 3 dims,3,600,1,169,2086,1657,0.0,0.032,0,-1.0,-1.0,107
21,boa,simple map 3 dims,3,600,1,169,1723,1231,0.0,0.031,0,-1.0,-1.0,97
21,emoa,simple map 3 dims,3,600,1,169,1723,1231,0.0,0.023,0,-1.0,-1.0,97
22,boa,simple map 3 dims,3,600,1,169,1420,945,0.0,0.016,0,-1.0,-1.0,51
22,emoa,simple map 3 dims,3,600,1,169,1420,945,0.0,0.013,0,-1.0,-1.0,51
23,boa,simple map 3 dims,3,600,1,169,1813,1371,0.0,0.031,0,-1.0,-1.0,94
23,emoa,simple map 3 dims,3,600,1,169,1813,1371,0.0,0.016,0,-1.0,-1.0,94
24,boa,simple map 3 dims,3,600,1,169,1421,1026,0.0,0.016,0,-1.0,-1.0,65
24,emoa,simple map 3 dims,3,600,1,169,1421,1026,0.0,0.016,0,-1.0,-1.0,65
25,boa,simple map 3 dims,3,600,1,169,1956,1404,0.0,0.03,0,-1.0,-1.0,112
25,emoa,simple map 3 dims,3,600,1,169,1956,1404,0.0,0.032,0,-1.0,-1.0,112
26,boa,simple map 3 dims,3,600,1,169,2859,2048,0.0,0.045,0,-1.0,-1.0,133
26,emoa,simple map 3 dims,3,600,1,169,2859,2048,0.0,0.031,0,-1.0,-1.0,133
27,boa,simple map 3 dims,3,600,1,169,1804,1280,0.0,0.031,0,-1.0,-1.0,96
27,emoa,simple map 3 dims,3,600,1,169,1804,1280,0.0,0.029,0,-1.0,-1.0,96
28,boa,simple map 3 dims,3,600,1,169,1274,950,0.0,0.016,0,-1.0,-1.0,64
28,emoa,simple map 3 dims,3,600,1,169,1274,950,0.0,0.016,0,-1.0,-1.0,64
29,boa,simple map 3 dims,3,600,1,169,2584,1722,0.0,0.054,0,-1.0,-1.0,100
29,emoa,simple map 3 dims,3,600,1,169,2584,1722,0.0,0.031,0,-1.0,-1.0,100
30,boa,simple map 3 dims,3,600,1,169,2426,1890,0.0,0.046,0,-1.0,-1.0,115
30,emoa,simple map 3 dims,3,600,1,169,2426,1890,0.0,0.031,0,-1.0,-1.0,115
31,boa,simple map 3 dims,3,600,1,169,1569,1221,0.0,0.048,0,-1.0,-1.0,84
31,emoa,simple map 3 dims,3,600,1,169,1569,1221,0.0,0.015,0,-1.0,-1.0,84
32,boa,simple map 3 dims,3,600,1,169,1514,1138,0.0,0.032,0,-1.0,-1.0,84
32,emoa,simple map 3 dims,3,600,1,169,1514,1138,0.0,0.015,0,-1.0,-1.0,84
33,boa,simple map 3 dims,3,600,1,169,2476,1792,0.0,0.047,0,-1.0,-1.0,93
33,emoa,simple map 3 dims,3,600,1,169,2476,1792,0.0,0.015,0,-1.0,-1.0,93
34,boa,simple map 3 dims,3,600,1,169,1683,1197,0.0,0.03,0,-1.0,-1.0,96
34,emoa,simple map 3 dims,3,600,1,169,1683,1197,0.0,0.03,0,-1.0,-1.0,96
35,boa,simple map 3 dims,3,600,1,169,2104,1414,0.0,0.028,0,-1.0,-1.0,88
35,emoa,simple map 3 dims,3,600,1,169,2104,1414,0.011,0.015,0,-1.0,-1.0,88
36,boa,simple map 3 dims,3,600,1,169,2653,1959,0.0,0.047,0,-1.0,-1.0,123
36,emoa,simple map 3 dims,3,600,1,169,2653,1959,0.0,0.035,0,-1.0,-1.0,123
37,boa,simple map 3 dims,3,600,1,169,2714,1939,0.0,0.058,0,-1.0,-1.0,135
37,emoa,simple map 3 dims,3,600,1,169,2714,1939,0.0,0.047,0,-1.0,-1.0,135
38,boa,simple map 3 dims,3,600,1,169,2173,1528,0.0,0.047,0,-1.0,-1.0,80
38,emoa,simple map 3 dims,3,600,1,169,2173,1528,0.0,0.029,0,-1.0,-1.0,80
39,boa,simple map 3 dims,3,600,1,169,1526,1130,0.0,0.026,0,-1.0,-1.0,61
39,emoa,simple map 3 dims,3,600,1,169,1526,1130,0.0,0.015,0,-1.0,-1.0,61
40,boa,simple map 3 dims,3,600,1,169,612,420,0.0,0.0,0,-1.0,-1.0,31
40,emoa,simple map 3 dims,3,600,1,169,612,420,0.0,0.0,0,-1.0,-1.0,31
41,boa,simple map 3 dims,3,600,1,169,1262,954,0.0,0.025,0,-1.0,-1.0,80
41,emoa,simple map 3 dims,3,600,1,169,1262,954,0.0,0.016,0,-1.0,-1.0,80
42,boa,simple map 3 dims,3,600,1,169,1751,1289,0.0,0.03,0,-1.0,-1.0,116
42,emoa,simple map 3 dims,3,600,1,169,1751,1289,0.0,0.016,0,-1.0,-1.0,116
43,boa,simple map 3 dims,3,600,1,169,2499,1871,0.015,0.048,0,-1.0,-1.0,133
43,emoa,simple map 3 dims,3,600,1,169,2499,1871,0.0,0.032,0,-1.0,-1.0,133
44,boa,simple map 3 dims,3,600,1,169,3543,2574,0.0,0.11,0,-1.0,-1.0,184
44,emoa,simple map 3 dims,3,600,1,169,3543,2574,0.0,0.046,0,-1.0,-1.0,184
45,boa,simple map 3 dims,3,600,1,169,2758,2125,0.0,0.063,0,-1.0,-1.0,216
45,emoa,simple map 3 dims,3,600,1,169,2758,2125,0.0,0.027,0,-1.0,-1.0,216
