test_number,algorithm,map_name,num_dims,time_limit,start,goal,n_generated,n_expanded,heuristic_time,search_time,timeout,num_nondom_labels_max,num_nondom_labels_avg,num_solutions
46,boa,simple map 3 dims,3,600,1,169,3359,2531,0.0,0.079,0,-1.0,-1.0,150
46,emoa,simple map 3 dims,3,600,1,169,3359,2531,0.009,0.033,0,-1.0,-1.0,150
47,boa,simple map 3 dims,3,600,1,169,1952,1493,0.0,0.044,0,-1.0,-1.0,82
47,emoa,simple map 3 dims,3,600,1,169,1952,1493,0.0,0.033,0,-1.0,-1.0,82
48,boa,simple map 3 dims,3,600,1,169,2333,1817,0.0,0.047,0,-1.0,-1.0,146
48,emoa,simple map 3 dims,3,600,1,169,2333,1817,0.0,0.031,0,-1.0,-1.0,146
49,boa,simple map 3 dims,3,600,1,169,975,774,0.0,0.015,0,-1.0,-1.0,63
49,emoa,simple map 3 dims,3,600,1,169,975,774,0.0,0.015,0,-1.0,-1.0,63
50,boa,simple map 3 dims,3,600,1,169,1377,903,0.0,0.014,0,-1.0,-1.0,60
50,emoa,simple map 3 dims,3,600,1,169,1377,903,0.0,0.016,0,-1.0,-1.0,60
