test_number,algorithm,map_name,num_dims,time_limit,start,goal,n_generated,n_expanded,heuristic_time,search_time,timeout,num_nondom_labels_max,num_nondom_labels_avg,num_solutions
33,boa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0
33,emoa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0
34,boa,simple map 3 dims,3,600,1,169,40,39,0.0,0.0,0,-1.0,-1.0,0
34,emoa,simple map 3 dims,3,600,1,169,33,30,0.0,0.0,0,-1.0,-1.0,0
35,boa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0
35,emoa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0
36,boa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0
36,emoa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0
37,boa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0
37,emoa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0
38,boa,simple map 3 dims,3,600,1,169,16,15,0.0,0.0,0,-1.0,-1.0,0
38,emoa,simple map 3 dims,3,600,1,169,16,15,0.0,0.0,0,-1.0,-1.0,0
39,boa,simple map 3 dims,3,600,1,169,34,34,0.0,0.0,0,-1.0,-1.0,0
39,emoa,simple map 3 dims,3,600,1,169,27,26,0.0,0.0,0,-1.0,-1.0,0
40,boa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0
40,emoa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0
41,boa,simple map 3 dims,3,600,1,169,2,2,0.0,0.0,0,-1.0,-1.0,0
41,emoa,simple map 3 dims,3,600,1,169,2,2,0.0,0.0,0,-1.0,-1.0,0
42,boa,simple map 3 dims,3,600,1,169,97,93,0.0,0.0,0,-1.0,-1.0,0
42,emoa,simple map 3 dims,3,600,1,169,79,71,0.0,0.0,0,-1.0,-1.0,0
43,boa,simple map 3 dims,3,600,1,169,97,87,0.0,0.0,0,-1.0,-1.0,0
43,emoa,simple map 3 dims,3,600,1,169,95,83,0.0,0.0,0,-1.0,-1.0,0
44,boa,simple map 3 dims,3,600,1,169,3,3,0.0,0.0,0,-1.0,-1.0,0
44,emoa,simple map 3 dims,3,600,1,169,3,3,0.0,0.0,0,-1.0,-1.0,0
45,boa,simple map 3 dims,3,600,1,169,3,3,0.0,0.0,0,-1.0,-1.0,0
45,emoa,simple map 3 dims,3,600,1,169,3,3,0.0,0.0,0,-1.0,-1.0,0
46,boa,simple map 3 dims,3,600,1,169,3,3,0.0,0.0,0,-1.0,-1.0,0
46,emoa,simple map 3 dims,3,600,1,169,3,3,0.0,0.0,0,-1.0,-1.0,0
47,boa,simple map 3 dims,3,600,1,169,2,2,0.0,0.0,0,-1.0,-1.0,0
47,emoa,simple map 3 dims,3,600,1,169,2,2,0.0,0.0,0,-1.0,-1.0,0
48,boa,simple map 3 dims,3,600,1,169,16,15,0.0,0.0,0,-1.0,-1.0,0
48,emoa,simple map 3 dims,3,600,1,169,16,15,0.0,0.0,0,-1.0,-1.0,0
49,boa,simple map 3 dims,3,600,1,169,196,157,0.0,0.0,0,-1.0,-1.0,7
49,emoa,simple map 3 dims,3,600,1,169,196,157,0.0,0.0,0,-1.0,-1.0,7
50,boa,simple map 3 dims,3,600,1,169,4,4,0.0,0.0,0,-1.0,-1.0,0
50,emoa,simple map 3 dims,3,600,1,169,4,4,0.0,0.0,0,-1.0,-1.0,0
