test_number,algorithm,map_name,num_dims,time_limit,start,goal,n_generated,n_expanded,heuristic_time,search_time,timeout,num_nondom_labels_max,num_nondom_labels_avg,num_solutions
1,boa,simple map 3 dims,3,600,1,169,1566,1152,0.0,0.036,0,-1.0,-1.0,115
1,emoa,simple map 3 dims,3,600,1,169,1566,1152,0.0,0.031,0,-1.0,-1.0,115
2,boa,simple map 3 dims,3,600,1,169,323,215,0.0,0.0,0,-1.0,-1.0,15
2,emoa,simple map 3 dims,3,600,1,169,323,215,0.0,0.0,0,-1.0,-1.0,15
3,boa,simple map 3 dims,3,600,1,169,1932,1408,0.0,0.032,0,-1.0,-1.0,108
3,emoa,simple map 3 dims,3,600,1,169,1932,1408,0.0,0.015,0,-1.0,-1.0,108
4,boa,simple map 3 dims,3,600,1,169,785,565,0.015,0.016,0,-1.0,-1.0,51
4,emoa,simple map 3 dims,3,600,1,169,785,565,0.0,0.016,0,-1.0,-1.0,51
5,boa,simple map 3 dims,3,600,1,169,455,348,0.0,0.0,0,-1.0,-1.0,30
5,emoa,simple map 3 dims,3,600,1,169,455,348,0.0,0.016,0,-1.0,-1.0,30
6,boa,simple map 3 dims,3,600,1,169,926,737,0.0,0.02,0,-1.0,-1.0,76
6,emoa,simple map 3 dims,3,600,1,169,926,737,0.0,0.015,0,-1.0,-1.0,76
7,boa,simple map 3 dims,3,600,1,169,717,575,0.0,0.016,0,-1.0,-1.0,51
7,emoa,simple map 3 dims,3,600,1,169,717,575,0.0,0.0,0,-1.0,-1.0,51
8,boa,simple map 3 dims,3,600,1,169,701,446,0.0,0.009,0,-1.0,-1.0,49
8,emoa,simple map 3 dims,3,600,1,169,701,446,0.0,0.012,0,-1.0,-1.0,49
9,boa,simple map 3 dims,3,600,1,169,958,693,0.016,0.0,0,-1.0,-1.0,60
9,emoa,simple map 3 dims,3,600,1,169,958,693,0.0,0.022,0,-1.0,-1.0,60
10,boa,simple map 3 dims,3,600,1,169,2329,1847,0.0,0.079,0,-1.0,-1.0,233
10,emoa,simple map 3 dims,3,600,1,169,2329,1847,0.0,0.031,0,-1.0,-1.0,233
