test_number,algorithm,map_name,num_dims,time_limit,start,goal,n_generated,n_expanded,heuristic_time,search_time,timeout,num_nondom_labels_max,num_nondom_labels_avg,num_solutions,solutions_labels
1,boa,simple map 3 dims,3,600,1,169,1566,1152,0.0,0.036,0,-1.0,-1.0,115,"dict_keys([3963, 3920, 3881, 3854, 3760, 3726, 3696, 3667, 3654, 3560, 3476, 3467, 3434, 3392, 3368, 3339, 3271, 3231, 3167, 3142, 3785, 3023, 3604, 3223, 2969, 3705, 3070, 2943, 2911, 2741, 2716, 2589, 1329, 1286, 3894, 1227, 3458, 283, 1172, 759, 998, 2601, 1204, 732, 3903, 3776, 3522, 2633, 1617, 914, 897, 366, 2783, 2148, 878, 3872, 1586, 826, 134, 3863, 1196, 2407, 2026, 849, 87, 3535, 2519, 1503, 115, 587, 3834, 151, 374, 1390, 511, 3972, 2956, 670, 2194, 600, 494, 2616, 1346, 3401, 1877, 3933, 3806, 1520, 3954, 1541, 2486, 1692, 1754, 1990, 542, 1812, 1886, 3743, 1965, 2005, 2047, 3308, 1784, 2292, 1035, 2305, 2336, 2996, 75, 2361, 1660, 2168, 2422, 2846, 2465])"
1,emoa,simple map 3 dims,3,600,1,169,1566,1152,0.0,0.031,0,-1.0,-1.0,115,"dict_keys([3963, 3920, 3881, 3854, 3760, 3726, 3696, 3667, 3654, 3560, 3476, 3467, 3434, 3392, 3368, 3339, 3271, 3231, 3167, 3142, 3785, 3023, 3604, 3223, 2969, 3705, 3070, 2943, 2911, 2741, 2716, 2589, 1329, 1286, 3894, 1227, 3458, 283, 1172, 759, 998, 2601, 1204, 732, 3903, 3776, 3522, 2633, 1617, 914, 897, 366, 2783, 2148, 878, 3872, 1586, 826, 134, 3863, 1196, 2407, 2026, 849, 87, 3535, 2519, 1503, 115, 587, 3834, 151, 374, 1390, 511, 3972, 2956, 670, 2194, 600, 494, 2616, 1346, 3401, 1877, 3933, 3806, 1520, 3954, 1541, 2486, 1692, 1754, 1990, 542, 1812, 1886, 3743, 1965, 2005, 2047, 3308, 1784, 2292, 1035, 2305, 2336, 2996, 75, 2361, 1660, 2168, 2422, 2846, 2465])"
2,boa,simple map 3 dims,3,600,1,169,323,215,0.0,0.0,0,-1.0,-1.0,15,"dict_keys([646, 286, 99, 611, 176, 449, 243, 696, 261, 407, 428, 78, 513, 569, 590])"
2,emoa,simple map 3 dims,3,600,1,169,323,215,0.0,0.0,0,-1.0,-1.0,15,"dict_keys([646, 286, 99, 611, 176, 449, 243, 696, 261, 407, 428, 78, 513, 569, 590])"
3,boa,simple map 3 dims,3,600,1,169,1932,1408,0.0,0.032,0,-1.0,-1.0,108,"dict_keys([4607, 4581, 4555, 4542, 4503, 4483, 4434, 4408, 4382, 4365, 4270, 4240, 4227, 4214, 4529, 4021, 3962, 4300, 3919, 4290, 3909, 3863, 3853, 3790, 3733, 4594, 3705, 4516, 3627, 3534, 3410, 3377, 3329, 1374, 2259, 1809, 4421, 1881, 4620, 937, 1457, 1330, 1180, 128, 2016, 3514, 1482, 85, 3035, 375, 1023, 1128, 2144, 2439, 1579, 182, 664, 4395, 966, 2920, 320, 1036, 528, 3750, 3242, 499, 4460, 1920, 2682, 4170, 2392, 614, 4568, 758, 2351, 3236, 2001, 3181, 1284, 2046, 4260, 2101, 2127, 2189, 2491, 3022, 4447, 3812, 2669, 4201, 2804, 802, 2834, 4076, 2933, 1669, 3066, 3087, 1799, 3323, 3175, 4146, 209, 2622, 3257, 3929, 3802, 3294])"
3,emoa,simple map 3 dims,3,600,1,169,1932,1408,0.0,0.015,0,-1.0,-1.0,108,"dict_keys([4607, 4581, 4555, 4542, 4503, 4483, 4434, 4408, 4382, 4365, 4270, 4240, 4227, 4214, 4529, 4021, 3962, 4300, 3919, 4290, 3909, 3863, 3853, 3790, 3733, 4594, 3705, 4516, 3627, 3534, 3410, 3377, 3329, 1374, 2259, 1809, 4421, 1881, 4620, 937, 1457, 1330, 1180, 128, 2016, 3514, 1482, 85, 3035, 375, 1023, 1128, 2144, 2439, 1579, 182, 664, 4395, 966, 2920, 320, 1036, 528, 3750, 3242, 499, 4460, 1920, 2682, 4170, 2392, 614, 4568, 758, 2351, 3236, 2001, 3181, 1284, 2046, 4260, 2101, 2127, 2189, 2491, 3022, 4447, 3812, 2669, 4201, 2804, 802, 2834, 4076, 2933, 1669, 3066, 3087, 1799, 3323, 3175, 4146, 209, 2622, 3257, 3929, 3802, 3294])"
4,boa,simple map 3 dims,3,600,1,169,785,565,0.015,0.016,0,-1.0,-1.0,51,"dict_keys([1955, 1910, 1858, 1823, 1780, 1625, 1557, 1508, 1267, 1255, 1940, 1232, 535, 415, 1703, 995, 1683, 503, 1186, 242, 360, 1676, 319, 203, 660, 1694, 160, 1661, 422, 1002, 123, 1877, 1051, 567, 685, 744, 755, 516, 929, 787, 1888, 1593, 826, 167, 875, 1966, 78, 904, 897, 1038, 1097])"
4,emoa,simple map 3 dims,3,600,1,169,785,565,0.0,0.016,0,-1.0,-1.0,51,"dict_keys([1955, 1910, 1858, 1823, 1780, 1625, 1557, 1508, 1267, 1255, 1940, 1232, 535, 415, 1703, 995, 1683, 503, 1186, 242, 360, 1676, 319, 203, 660, 1694, 160, 1661, 422, 1002, 123, 1877, 1051, 567, 685, 744, 755, 516, 929, 787, 1888, 1593, 826, 167, 875, 1966, 78, 904, 897, 1038, 1097])"
5,boa,simple map 3 dims,3,600,1,169,455,348,0.0,0.0,0,-1.0,-1.0,30,"dict_keys([729, 787, 1190, 686, 570, 860, 426, 382, 201, 1154, 141, 750, 649, 480, 90, 284, 815, 1210, 738, 1202, 812, 1108, 626, 1157, 523, 1172, 1175, 1197, 735, 1207])"
5,emoa,simple map 3 dims,3,600,1,169,455,348,0.0,0.016,0,-1.0,-1.0,30,"dict_keys([729, 787, 1190, 686, 570, 860, 426, 382, 201, 1154, 141, 750, 649, 480, 90, 284, 815, 1210, 738, 1202, 812, 1108, 626, 1157, 523, 1172, 1175, 1197, 735, 1207])"
