test_number,algorithm,map_name,num_dims,heuristic_time,search_time,num_solutions,time_limit,start,goal,n_generated,n_expanded,timeout,num_nondom_labels_max,num_nondom_labels_avg
1,boa,simple map 3 dims,3,0.0,16.609,1692,600,1,900,120547,95387,0,-1.0,-1.0
1,emoa,simple map 3 dims,3,0.0,4.75,1692,600,1,900,120547,95387,0,-1.0,-1.0
2,boa,simple map 3 dims,3,0.016,7.405,1066,600,1,900,96100,69968,0,-1.0,-1.0
2,emoa,simple map 3 dims,3,0.0,2.783,1066,600,1,900,96100,69968,0,-1.0,-1.0
3,boa,simple map 3 dims,3,0.01,12.823,1405,600,1,900,133842,98537,0,-1.0,-1.0
3,emoa,simple map 3 dims,3,0.0,4.312,1405,600,1,900,133842,98537,0,-1.0,-1.0
4,boa,simple map 3 dims,3,0.022,18.647,1470,600,1,900,143341,113521,0,-1.0,-1.0
4,emoa,simple map 3 dims,3,0.016,5.196,1470,600,1,900,143341,113521,0,-1.0,-1.0
5,boa,simple map 3 dims,3,0.0,6.83,773,600,1,900,70315,55928,0,-1.0,-1.0
5,emoa,simple map 3 dims,3,0.0,2.409,773,600,1,900,70315,55928,0,-1.0,-1.0
6,boa,simple map 3 dims,3,0.01,23.262,1735,600,1,900,165431,131021,0,-1.0,-1.0
6,emoa,simple map 3 dims,3,0.016,6.688,1735,600,1,900,165431,131021,0,-1.0,-1.0
7,boa,simple map 3 dims,3,0.01,47.133,2159,600,1,900,279044,210475,0,-1.0,-1.0
7,emoa,simple map 3 dims,3,0.071,14.181,2159,600,1,900,279044,210475,0,-1.0,-1.0
8,boa,simple map 3 dims,3,0.017,9.884,1090,600,1,900,94757,75050,0,-1.0,-1.0
8,emoa,simple map 3 dims,3,0.008,3.332,1090,600,1,900,94757,75050,0,-1.0,-1.0
9,boa,simple map 3 dims,3,0.015,12.459,1359,600,1,900,112924,86857,0,-1.0,-1.0
9,emoa,simple map 3 dims,3,0.016,3.853,1359,600,1,900,112924,86857,0,-1.0,-1.0
10,boa,simple map 3 dims,3,0.022,13.274,1392,600,1,900,135159,101479,0,-1.0,-1.0
10,emoa,simple map 3 dims,3,0.0,4.657,1392,600,1,900,135159,101479,0,-1.0,-1.0
11,boa,simple map 3 dims,3,0.001,12.249,1046,600,1,900,91160,74047,0,-1.0,-1.0
11,emoa,simple map 3 dims,3,0.001,3.883,1046,600,1,900,91160,74047,0,-1.0,-1.0
12,boa,simple map 3 dims,3,0.01,7.224,1167,600,1,900,79440,64297,0,-1.0,-1.0
12,emoa,simple map 3 dims,3,0.0,2.769,1167,600,1,900,79440,64297,0,-1.0,-1.0
13,boa,simple map 3 dims,3,0.015,8.4,1167,600,1,900,104187,80699,0,-1.0,-1.0
13,emoa,simple map 3 dims,3,0.0,3.318,1167,600,1,900,104187,80699,0,-1.0,-1.0
14,boa,simple map 3 dims,3,0.012,12.054,1295,600,1,900,137998,96333,0,-1.0,-1.0
14,emoa,simple map 3 dims,3,0.004,4.476,1295,600,1,900,137998,96333,0,-1.0,-1.0
15,boa,simple map 3 dims,3,0.016,16.249,1807,600,1,900,142260,105287,0,-1.0,-1.0
15,emoa,simple map 3 dims,3,0.016,4.916,1807,600,1,900,142260,105287,0,-1.0,-1.0
16,boa,simple map 3 dims,3,0.016,7.288,729,600,1,900,74525,58943,0,-1.0,-1.0
16,emoa,simple map 3 dims,3,0.018,2.533,729,600,1,900,74525,58943,0,-1.0,-1.0
17,boa,simple map 3 dims,3,0.014,37.909,2263,600,1,900,274631,215547,0,-1.0,-1.0
17,emoa,simple map 3 dims,3,0.0,10.967,2263,600,1,900,274631,215547,0,-1.0,-1.0
18,boa,simple map 3 dims,3,0.008,15.83,1418,600,1,900,125295,98790,0,-1.0,-1.0
18,emoa,simple map 3 dims,3,0.01,4.713,1418,600,1,900,125295,98790,0,-1.0,-1.0
19,boa,simple map 3 dims,3,0.027,10.234,1064,600,1,900,101996,79990,0,-1.0,-1.0
19,emoa,simple map 3 dims,3,0.016,3.404,1064,600,1,900,101996,79990,0,-1.0,-1.0
20,boa,simple map 3 dims,3,0.016,25.603,1839,600,1,900,161071,130509,0,-1.0,-1.0
20,emoa,simple map 3 dims,3,0.0,6.764,1839,600,1,900,161071,130509,0,-1.0,-1.0
21,boa,simple map 3 dims,3,0.018,7.635,999,600,1,900,87383,66017,0,-1.0,-1.0
21,emoa,simple map 3 dims,3,0.015,2.694,999,600,1,900,87383,66017,0,-1.0,-1.0
22,boa,simple map 3 dims,3,0.016,10.976,994,600,1,900,117427,89691,0,-1.0,-1.0
22,emoa,simple map 3 dims,3,0.0,3.974,994,600,1,900,117427,89691,0,-1.0,-1.0
23,boa,simple map 3 dims,3,0.016,20.605,1452,600,1,900,160180,127878,0,-1.0,-1.0
23,emoa,simple map 3 dims,3,0.016,6.182,1452,600,1,900,160180,127878,0,-1.0,-1.0
24,boa,simple map 3 dims,3,0.015,13.19,1515,600,1,900,125111,94799,0,-1.0,-1.0
24,emoa,simple map 3 dims,3,0.016,4.219,1515,600,1,900,125111,94799,0,-1.0,-1.0
25,boa,simple map 3 dims,3,0.0,4.85,787,600,1,900,58415,44086,0,-1.0,-1.0
25,emoa,simple map 3 dims,3,0.015,1.744,787,600,1,900,58415,44086,0,-1.0,-1.0
