test_number,algorithm,map_name,num_dims,time_limit,start,goal,n_generated,n_expanded,heuristic_time,search_time,timeout,num_nondom_labels_max,num_nondom_labels_avg,num_solutions,solutions_labels
1,boa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
1,emoa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
2,boa,simple map 3 dims,3,600,1,169,7,7,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
2,emoa,simple map 3 dims,3,600,1,169,7,7,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
3,boa,simple map 3 dims,3,600,1,169,24,23,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
3,emoa,simple map 3 dims,3,600,1,169,24,23,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
4,boa,simple map 3 dims,3,600,1,169,92,91,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
4,emoa,simple map 3 dims,3,600,1,169,83,79,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
5,boa,simple map 3 dims,3,600,1,169,192,135,0.015,0.0,0,-1.0,-1.0,11,"dict_keys([396, 339, 272, 263, 387, 348, 205, 199, 167, 135, 70])"
5,emoa,simple map 3 dims,3,600,1,169,192,135,0.0,0.0,0,-1.0,-1.0,11,"dict_keys([396, 339, 272, 263, 387, 348, 205, 199, 167, 135, 70])"
6,boa,simple map 3 dims,3,600,1,169,7,7,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
6,emoa,simple map 3 dims,3,600,1,169,7,6,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
7,boa,simple map 3 dims,3,600,1,169,70,68,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
7,emoa,simple map 3 dims,3,600,1,169,68,66,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
8,boa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
8,emoa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
9,boa,simple map 3 dims,3,600,1,169,28,26,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
9,emoa,simple map 3 dims,3,600,1,169,18,16,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
10,boa,simple map 3 dims,3,600,1,169,1940,1787,0.0,0.058,0,-1.0,-1.0,0,dict_keys([])
10,emoa,simple map 3 dims,3,600,1,169,448,380,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
11,boa,simple map 3 dims,3,600,1,169,92,68,0.0,0.0,0,-1.0,-1.0,3,"dict_keys([177, 116, 72])"
11,emoa,simple map 3 dims,3,600,1,169,92,68,0.0,0.0,0,-1.0,-1.0,3,"dict_keys([177, 116, 72])"
12,boa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
12,emoa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
13,boa,simple map 3 dims,3,600,1,169,101,80,0.0,0.0,0,-1.0,-1.0,4,"dict_keys([216, 158, 95, 65])"
13,emoa,simple map 3 dims,3,600,1,169,101,80,0.0,0.0,0,-1.0,-1.0,4,"dict_keys([216, 158, 95, 65])"
14,boa,simple map 3 dims,3,600,1,169,1,1,0.016,0.0,0,-1.0,-1.0,0,dict_keys([])
14,emoa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
15,boa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
15,emoa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
16,boa,simple map 3 dims,3,600,1,169,523,435,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
16,emoa,simple map 3 dims,3,600,1,169,459,365,0.0,0.015,0,-1.0,-1.0,0,dict_keys([])
17,boa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
17,emoa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
18,boa,simple map 3 dims,3,600,1,169,925,810,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
18,emoa,simple map 3 dims,3,600,1,169,186,167,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
19,boa,simple map 3 dims,3,600,1,169,7,7,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
19,emoa,simple map 3 dims,3,600,1,169,7,7,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
20,boa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
20,emoa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
21,boa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
21,emoa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
22,boa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
22,emoa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
23,boa,simple map 3 dims,3,600,1,169,4,4,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
23,emoa,simple map 3 dims,3,600,1,169,4,4,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
24,boa,simple map 3 dims,3,600,1,169,24,24,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
24,emoa,simple map 3 dims,3,600,1,169,19,18,0.0,0.0,0,-1.0,-1.0,0,dict_keys([])
25,boa,simple map 3 dims,3,600,1,169,175,152,0.0,0.0,0,-1.0,-1.0,7,"dict_keys([344, 298, 250, 191, 390, 143, 72])"
