test_number,algorithm,map_name,num_dims,time_limit,start,goal,n_generated,n_expanded,heuristic_time,search_time,timeout,num_nondom_labels_max,num_nondom_labels_avg,num_solutions
1,boa,simple map 3 dims,3,600,1,169,3463,2748,0.0,0.094,0,-1.0,-1.0,149
1,emoa,simple map 3 dims,3,600,1,169,3463,2748,0.0,0.048,0,-1.0,-1.0,149
2,boa,simple map 3 dims,3,600,1,169,6095,4384,0.0,0.172,0,-1.0,-1.0,291
2,emoa,simple map 3 dims,3,600,1,169,6095,4384,0.0,0.096,0,-1.0,-1.0,291
3,boa,simple map 3 dims,3,600,1,169,1527,1192,0.0,0.033,0,-1.0,-1.0,99
3,emoa,simple map 3 dims,3,600,1,169,1527,1192,0.015,0.016,0,-1.0,-1.0,99
4,boa,simple map 3 dims,3,600,1,169,3396,2167,0.003,0.045,0,-1.0,-1.0,139
4,emoa,simple map 3 dims,3,600,1,169,3396,2167,0.0,0.047,0,-1.0,-1.0,139
5,boa,simple map 3 dims,3,600,1,169,3246,2124,0.0,0.062,0,-1.0,-1.0,104
5,emoa,simple map 3 dims,3,600,1,169,3246,2124,0.0,0.031,0,-1.0,-1.0,104
6,boa,simple map 3 dims,3,600,1,169,3335,2595,0.001,0.077,0,-1.0,-1.0,146
6,emoa,simple map 3 dims,3,600,1,169,3335,2595,0.0,0.047,0,-1.0,-1.0,146
7,boa,simple map 3 dims,3,600,1,169,1753,1317,0.0,0.044,0,-1.0,-1.0,108
7,emoa,simple map 3 dims,3,600,1,169,1753,1317,0.0,0.014,0,-1.0,-1.0,108
8,boa,simple map 3 dims,3,600,1,169,6600,5155,0.0,0.213,0,-1.0,-1.0,262
8,emoa,simple map 3 dims,3,600,1,169,6600,5155,0.0,0.095,0,-1.0,-1.0,262
9,boa,simple map 3 dims,3,600,1,169,8887,6563,0.0,0.3,0,-1.0,-1.0,424
9,emoa,simple map 3 dims,3,600,1,169,8887,6563,0.015,0.125,0,-1.0,-1.0,424
10,boa,simple map 3 dims,3,600,1,169,5761,3783,0.0,0.14,0,-1.0,-1.0,230
10,emoa,simple map 3 dims,3,600,1,169,5761,3783,0.0,0.079,0,-1.0,-1.0,230
11,boa,simple map 3 dims,3,600,1,169,9280,6692,0.0,0.267,0,-1.0,-1.0,302
11,emoa,simple map 3 dims,3,600,1,169,9280,6692,0.016,0.127,0,-1.0,-1.0,302
12,boa,simple map 3 dims,3,600,1,169,4790,3520,0.0,0.094,0,-1.0,-1.0,182
12,emoa,simple map 3 dims,3,600,1,169,4790,3520,0.0,0.062,0,-1.0,-1.0,182
13,boa,simple map 3 dims,3,600,1,169,3202,2412,0.0,0.078,0,-1.0,-1.0,138
13,emoa,simple map 3 dims,3,600,1,169,3202,2412,0.0,0.036,0,-1.0,-1.0,138
14,boa,simple map 3 dims,3,600,1,169,3722,2704,0.0,0.082,0,-1.0,-1.0,160
14,emoa,simple map 3 dims,3,600,1,169,3722,2704,0.0,0.062,0,-1.0,-1.0,160
