test_number,algorithm,map_name,num_dims,heuristic_time,search_time,num_solutions,time_limit,start,goal,n_generated,n_expanded,timeout,num_nondom_labels_max,num_nondom_labels_avg
1,boa,simple map 9 dims,9,0.003,4.852,1038,600,1,64,4951,3627,0,-1.0,-1.0
1,emoa,simple map 9 dims,9,0.006,0.612,1038,600,1,64,4951,3627,0,-1.0,-1.0
2,boa,simple map 9 dims,9,0.0,20.036,2045,600,1,64,8872,6268,0,-1.0,-1.0
2,emoa,simple map 9 dims,9,0.0,1.46,2045,600,1,64,8872,6268,0,-1.0,-1.0
3,boa,simple map 9 dims,9,0.0,12.256,1449,600,1,64,6284,4365,0,-1.0,-1.0
3,emoa,simple map 9 dims,9,0.003,1.356,1449,600,1,64,6284,4365,0,-1.0,-1.0
4,boa,simple map 9 dims,9,0.01,5.694,974,600,1,64,4200,3002,0,-1.0,-1.0
4,emoa,simple map 9 dims,9,0.001,0.504,974,600,1,64,4200,3002,0,-1.0,-1.0
5,boa,simple map 9 dims,9,0.0,3.374,666,600,1,64,4212,3319,0,-1.0,-1.0
5,emoa,simple map 9 dims,9,0.0,0.325,666,600,1,64,4212,3319,0,-1.0,-1.0
6,boa,simple map 9 dims,9,0.005,3.595,786,600,1,64,4042,3033,0,-1.0,-1.0
6,emoa,simple map 9 dims,9,0.0,0.421,786,600,1,64,4042,3033,0,-1.0,-1.0
7,boa,simple map 9 dims,9,0.0,5.964,1000,600,1,64,5006,3656,0,-1.0,-1.0
7,emoa,simple map 9 dims,9,0.0,0.558,1000,600,1,64,5006,3656,0,-1.0,-1.0
8,boa,simple map 9 dims,9,0.004,5.6,914,600,1,64,5311,4193,0,-1.0,-1.0
8,emoa,simple map 9 dims,9,0.0,0.567,914,600,1,64,5311,4193,0,-1.0,-1.0
9,boa,simple map 9 dims,9,0.0,3.12,804,600,1,64,4259,2848,0,-1.0,-1.0
9,emoa,simple map 9 dims,9,0.0,0.285,804,600,1,64,4259,2848,0,-1.0,-1.0
10,boa,simple map 9 dims,9,0.005,6.729,1187,600,1,64,5511,3933,0,-1.0,-1.0
10,emoa,simple map 9 dims,9,0.004,0.672,1187,600,1,64,5511,3933,0,-1.0,-1.0
11,boa,simple map 9 dims,9,0.0,9.665,1243,600,1,64,5842,4362,0,-1.0,-1.0
11,emoa,simple map 9 dims,9,0.0,0.958,1243,600,1,64,5842,4362,0,-1.0,-1.0
12,boa,simple map 9 dims,9,0.0,2.546,720,600,1,64,4100,2960,0,-1.0,-1.0
12,emoa,simple map 9 dims,9,0.0,0.356,720,600,1,64,4100,2960,0,-1.0,-1.0
13,boa,simple map 9 dims,9,0.002,5.027,983,600,1,64,4489,3297,0,-1.0,-1.0
13,emoa,simple map 9 dims,9,0.0,0.473,983,600,1,64,4489,3297,0,-1.0,-1.0
14,boa,simple map 9 dims,9,0.003,7.454,1037,600,1,64,5650,4297,0,-1.0,-1.0
14,emoa,simple map 9 dims,9,0.0,0.802,1037,600,1,64,5650,4297,0,-1.0,-1.0
15,boa,simple map 9 dims,9,0.0,8.993,1305,600,1,64,5459,3859,0,-1.0,-1.0
15,emoa,simple map 9 dims,9,0.0,0.806,1305,600,1,64,5459,3859,0,-1.0,-1.0
16,boa,simple map 9 dims,9,0.0,23.643,2024,600,1,64,8951,6532,0,-1.0,-1.0
16,emoa,simple map 9 dims,9,0.0,2.074,2024,600,1,64,8951,6532,0,-1.0,-1.0
17,boa,simple map 9 dims,9,0.006,4.413,947,600,1,64,4365,3235,0,-1.0,-1.0
17,emoa,simple map 9 dims,9,0.0,0.427,947,600,1,64,4365,3235,0,-1.0,-1.0
18,boa,simple map 9 dims,9,0.0,3.091,815,600,1,64,3621,2619,0,-1.0,-1.0
18,emoa,simple map 9 dims,9,0.0,0.471,815,600,1,64,3621,2619,0,-1.0,-1.0
19,boa,simple map 9 dims,9,0.005,31.735,1946,600,1,64,9119,6650,0,-1.0,-1.0
19,emoa,simple map 9 dims,9,0.0,1.773,1946,600,1,64,9119,6650,0,-1.0,-1.0
20,boa,simple map 9 dims,9,0.001,14.192,1449,600,1,64,6759,5048,0,-1.0,-1.0
20,emoa,simple map 9 dims,9,0.001,1.183,1449,600,1,64,6759,5048,0,-1.0,-1.0
21,boa,simple map 9 dims,9,0.007,24.49,2109,600,1,64,8883,6422,0,-1.0,-1.0
21,emoa,simple map 9 dims,9,0.0,2.525,2109,600,1,64,8883,6422,0,-1.0,-1.0
22,boa,simple map 9 dims,9,0.0,6.744,833,600,1,64,3653,2660,0,-1.0,-1.0
22,emoa,simple map 9 dims,9,0.004,0.408,833,600,1,64,3653,2660,0,-1.0,-1.0
23,boa,simple map 9 dims,9,0.0,15.263,1396,600,1,64,7590,5516,0,-1.0,-1.0
23,emoa,simple map 9 dims,9,0.0,1.817,1396,600,1,64,7590,5516,0,-1.0,-1.0
24,boa,simple map 9 dims,9,0.008,8.012,1282,600,1,64,5704,4188,0,-1.0,-1.0
24,emoa,simple map 9 dims,9,0.002,0.965,1282,600,1,64,5704,4188,0,-1.0,-1.0
25,boa,simple map 9 dims,9,0.0,4.09,964,600,1,64,4362,3048,0,-1.0,-1.0
25,emoa,simple map 9 dims,9,0.002,0.434,964,600,1,64,4362,3048,0,-1.0,-1.0
26,boa,simple map 9 dims,9,0.003,3.291,628,600,1,64,3387,2540,0,-1.0,-1.0
26,emoa,simple map 9 dims,9,0.0,0.31,628,600,1,64,3387,2540,0,-1.0,-1.0
27,boa,simple map 9 dims,9,0.001,8.324,1235,600,1,64,5151,3702,0,-1.0,-1.0
27,emoa,simple map 9 dims,9,0.006,0.802,1235,600,1,64,5151,3702,0,-1.0,-1.0
28,boa,simple map 9 dims,9,0.0,10.997,1324,600,1,64,6162,4343,0,-1.0,-1.0
28,emoa,simple map 9 dims,9,0.0,0.898,1324,600,1,64,6162,4343,0,-1.0,-1.0
29,boa,simple map 9 dims,9,0.0,4.212,884,600,1,64,4494,3285,0,-1.0,-1.0
29,emoa,simple map 9 dims,9,0.0,0.44,884,600,1,64,4494,3285,0,-1.0,-1.0
30,boa,simple map 9 dims,9,0.006,14.076,1386,600,1,64,6503,4770,0,-1.0,-1.0
30,emoa,simple map 9 dims,9,0.0,1.147,1386,600,1,64,6503,4770,0,-1.0,-1.0
31,boa,simple map 9 dims,9,0.002,8.245,1150,600,1,64,5407,3951,0,-1.0,-1.0
31,emoa,simple map 9 dims,9,0.0,0.903,1150,600,1,64,5407,3951,0,-1.0,-1.0
32,boa,simple map 9 dims,9,0.0,4.453,891,600,1,64,4029,2960,0,-1.0,-1.0
32,emoa,simple map 9 dims,9,0.0,0.467,891,600,1,64,4029,2960,0,-1.0,-1.0
33,boa,simple map 9 dims,9,0.004,3.3,703,600,1,64,3513,2655,0,-1.0,-1.0
33,emoa,simple map 9 dims,9,0.0,0.37,703,600,1,64,3513,2655,0,-1.0,-1.0
34,boa,simple map 9 dims,9,0.0,5.844,945,600,1,64,4601,3448,0,-1.0,-1.0
34,emoa,simple map 9 dims,9,0.0,0.615,945,600,1,64,4601,3448,0,-1.0,-1.0
35,boa,simple map 9 dims,9,0.0,6.295,1222,600,1,64,5536,3945,0,-1.0,-1.0
35,emoa,simple map 9 dims,9,0.004,0.584,1222,600,1,64,5536,3945,0,-1.0,-1.0
36,boa,simple map 9 dims,9,0.004,1.576,532,600,1,64,2496,1829,0,-1.0,-1.0
36,emoa,simple map 9 dims,9,0.0,0.183,532,600,1,64,2496,1829,0,-1.0,-1.0
37,boa,simple map 9 dims,9,0.007,1.319,516,600,1,64,2663,1917,0,-1.0,-1.0
37,emoa,simple map 9 dims,9,0.0,0.201,516,600,1,64,2663,1917,0,-1.0,-1.0
38,boa,simple map 9 dims,9,0.0,1.443,515,600,1,64,2723,2022,0,-1.0,-1.0
38,emoa,simple map 9 dims,9,0.0,0.19,515,600,1,64,2723,2022,0,-1.0,-1.0
39,boa,simple map 9 dims,9,0.005,7.715,1254,600,1,64,5663,4214,0,-1.0,-1.0
39,emoa,simple map 9 dims,9,0.004,0.797,1254,600,1,64,5663,4214,0,-1.0,-1.0
40,boa,simple map 9 dims,9,0.008,7.701,1177,600,1,64,5122,3748,0,-1.0,-1.0
40,emoa,simple map 9 dims,9,0.0,1.13,1177,600,1,64,5122,3748,0,-1.0,-1.0
41,boa,simple map 9 dims,9,0.0,6.503,1111,600,1,64,5578,4025,0,-1.0,-1.0
41,emoa,simple map 9 dims,9,0.0,0.695,1111,600,1,64,5578,4025,0,-1.0,-1.0
42,boa,simple map 9 dims,9,0.0,18.93,1859,600,1,64,7603,5353,0,-1.0,-1.0
42,emoa,simple map 9 dims,9,0.007,1.852,1859,600,1,64,7603,5353,0,-1.0,-1.0
43,boa,simple map 9 dims,9,0.003,4.127,762,600,1,64,3515,2543,0,-1.0,-1.0
43,emoa,simple map 9 dims,9,0.0,0.38,762,600,1,64,3515,2543,0,-1.0,-1.0
44,boa,simple map 9 dims,9,0.0,3.137,557,600,1,64,2997,2309,0,-1.0,-1.0
44,emoa,simple map 9 dims,9,0.0,0.203,557,600,1,64,2997,2309,0,-1.0,-1.0
45,boa,simple map 9 dims,9,0.0,13.154,1357,600,1,64,6634,4976,0,-1.0,-1.0
45,emoa,simple map 9 dims,9,0.0,1.026,1357,600,1,64,6634,4976,0,-1.0,-1.0
46,boa,simple map 9 dims,9,0.015,3.769,877,600,1,64,4324,3070,0,-1.0,-1.0
46,emoa,simple map 9 dims,9,0.0,0.484,877,600,1,64,4324,3070,0,-1.0,-1.0
47,boa,simple map 9 dims,9,0.0,6.269,1080,600,1,64,4669,3395,0,-1.0,-1.0
47,emoa,simple map 9 dims,9,0.008,0.758,1080,600,1,64,4669,3395,0,-1.0,-1.0
48,boa,simple map 9 dims,9,0.0,1.61,502,600,1,64,2765,2151,0,-1.0,-1.0
48,emoa,simple map 9 dims,9,0.004,0.231,502,600,1,64,2765,2151,0,-1.0,-1.0
49,boa,simple map 9 dims,9,0.0,2.823,679,600,1,64,3566,2693,0,-1.0,-1.0
49,emoa,simple map 9 dims,9,0.003,0.335,679,600,1,64,3566,2693,0,-1.0,-1.0
50,boa,simple map 9 dims,9,0.0,10.722,1460,600,1,64,6623,4764,0,-1.0,-1.0
50,emoa,simple map 9 dims,9,0.003,1.054,1460,600,1,64,6623,4764,0,-1.0,-1.0
