test_number,algorithm,map_name,num_dims,heuristic_time,search_time,num_solutions,time_limit,start,goal,n_generated,n_expanded,timeout,num_nondom_labels_max,num_nondom_labels_avg
1,boa,simple map 9 dims,9,0.003,3.871,894,600,1,64,4080,2922,0,-1.0,-1.0
1,emoa,simple map 9 dims,9,0.001,0.448,894,600,1,64,4080,2922,0,-1.0,-1.0
2,boa,simple map 9 dims,9,0.0,5.445,1059,600,1,64,4823,3543,0,-1.0,-1.0
2,emoa,simple map 9 dims,9,0.0,0.489,1059,600,1,64,4823,3543,0,-1.0,-1.0
3,boa,simple map 9 dims,9,0.015,1.29,521,600,1,64,2453,1735,0,-1.0,-1.0
3,emoa,simple map 9 dims,9,0.01,0.208,521,600,1,64,2453,1735,0,-1.0,-1.0
4,boa,simple map 9 dims,9,0.002,0.498,240,600,1,64,1570,1155,0,-1.0,-1.0
4,emoa,simple map 9 dims,9,0.0,0.096,240,600,1,64,1570,1155,0,-1.0,-1.0
5,boa,simple map 9 dims,9,0.0,1.768,585,600,1,64,2778,1987,0,-1.0,-1.0
5,emoa,simple map 9 dims,9,0.0,0.207,585,600,1,64,2778,1987,0,-1.0,-1.0
6,boa,simple map 9 dims,9,0.0,0.095,115,600,1,64,678,501,0,-1.0,-1.0
6,emoa,simple map 9 dims,9,0.0,0.026,115,600,1,64,678,501,0,-1.0,-1.0
7,boa,simple map 9 dims,9,0.0,0.883,390,600,1,64,1845,1312,0,-1.0,-1.0
7,emoa,simple map 9 dims,9,0.0,0.106,390,600,1,64,1845,1312,0,-1.0,-1.0
8,boa,simple map 9 dims,9,0.001,1.718,572,600,1,64,2847,2059,0,-1.0,-1.0
8,emoa,simple map 9 dims,9,0.002,0.22,572,600,1,64,2847,2059,0,-1.0,-1.0
9,boa,simple map 9 dims,9,0.002,13.869,1616,600,1,64,6745,4959,0,-1.0,-1.0
9,emoa,simple map 9 dims,9,0.0,1.42,1616,600,1,64,6745,4959,0,-1.0,-1.0
10,boa,simple map 9 dims,9,0.002,0.438,243,600,1,64,1636,1233,0,-1.0,-1.0
10,emoa,simple map 9 dims,9,0.0,0.064,243,600,1,64,1636,1233,0,-1.0,-1.0
11,boa,simple map 9 dims,9,0.0,2.268,531,600,1,64,2811,2090,0,-1.0,-1.0
11,emoa,simple map 9 dims,9,0.006,0.282,531,600,1,64,2811,2090,0,-1.0,-1.0
12,boa,simple map 9 dims,9,0.0,0.349,227,600,1,64,1353,1056,0,-1.0,-1.0
