test_number,algorithm,map_name,num_dims,time_limit,start,goal,n_generated,n_expanded,heuristic_time,search_time,timeout,num_nondom_labels_max,num_nondom_labels_avg,num_solutions
1,boa,simple map 5 dims,5,600,1,169,58014,47974,0.006,99.315,0,-1.0,-1.0,4995
1,emoa,simple map 5 dims,5,600,1,169,58014,47974,0.0,10.933,0,-1.0,-1.0,4995
2,boa,simple map 5 dims,5,600,1,169,41039,32004,0.0,39.691,0,-1.0,-1.0,3789
2,emoa,simple map 5 dims,5,600,1,169,41039,32004,0.015,5.032,0,-1.0,-1.0,3789
3,boa,simple map 5 dims,5,600,1,169,53503,42588,0.0,104.551,0,-1.0,-1.0,5177
3,emoa,simple map 5 dims,5,600,1,169,53503,42588,0.008,9.928,0,-1.0,-1.0,5177
4,boa,simple map 5 dims,5,600,1,169,34015,26447,0.006,21.159,0,-1.0,-1.0,1892
4,emoa,simple map 5 dims,5,600,1,169,34015,26447,0.015,2.827,0,-1.0,-1.0,1892
5,boa,simple map 5 dims,5,600,1,169,51450,42296,0.015,79.368,0,-1.0,-1.0,4405
5,emoa,simple map 5 dims,5,600,1,169,51450,42296,0.0,10.258,0,-1.0,-1.0,4405
6,boa,simple map 5 dims,5,600,1,169,54979,42359,0.0,85.782,0,-1.0,-1.0,5059
6,emoa,simple map 5 dims,5,600,1,169,54979,42359,0.0,8.754,0,-1.0,-1.0,5059
7,boa,simple map 5 dims,5,600,1,169,96207,76539,0.0,215.396,0,-1.0,-1.0,7738
7,emoa,simple map 5 dims,5,600,1,169,96207,76539,0.0,24.564,0,-1.0,-1.0,7738
8,boa,simple map 5 dims,5,600,1,169,32321,21916,0.0,14.719,0,-1.0,-1.0,2783
8,emoa,simple map 5 dims,5,600,1,169,32321,21916,0.0,2.003,0,-1.0,-1.0,2783
9,boa,simple map 5 dims,5,600,1,169,34907,27534,0.0,23.528,0,-1.0,-1.0,2760
9,emoa,simple map 5 dims,5,600,1,169,34907,27534,0.0,3.457,0,-1.0,-1.0,2760
10,boa,simple map 5 dims,5,600,1,169,47073,36524,0.0,61.197,0,-1.0,-1.0,4582
10,emoa,simple map 5 dims,5,600,1,169,47073,36524,0.003,7.159,0,-1.0,-1.0,4582
11,boa,simple map 5 dims,5,600,1,169,84587,68642,0.0,163.017,0,-1.0,-1.0,7499
11,emoa,simple map 5 dims,5,600,1,169,84587,68642,0.0,20.99,0,-1.0,-1.0,7499
12,boa,simple map 5 dims,5,600,1,169,66126,51279,0.0,108.371,0,-1.0,-1.0,5295
12,emoa,simple map 5 dims,5,600,1,169,66126,51279,0.0,13.209,0,-1.0,-1.0,5295
13,boa,simple map 5 dims,5,600,1,169,31998,26722,0.0,34.292,0,-1.0,-1.0,2098
13,emoa,simple map 5 dims,5,600,1,169,31998,26722,0.004,5.268,0,-1.0,-1.0,2098
14,boa,simple map 5 dims,5,600,1,169,38592,31671,0.0,53.266,0,-1.0,-1.0,3340
14,emoa,simple map 5 dims,5,600,1,169,38592,31671,0.006,5.47,0,-1.0,-1.0,3340
15,boa,simple map 5 dims,5,600,1,169,30450,22993,0.015,12.871,0,-1.0,-1.0,1999
15,emoa,simple map 5 dims,5,600,1,169,30450,22993,0.013,2.182,0,-1.0,-1.0,1999
16,boa,simple map 5 dims,5,600,1,169,51841,40467,0.0,72.29,0,-1.0,-1.0,4885
16,emoa,simple map 5 dims,5,600,1,169,51841,40467,0.0,11.127,0,-1.0,-1.0,4885
17,boa,simple map 5 dims,5,600,1,169,47533,36287,0.0,43.787,0,-1.0,-1.0,3818
17,emoa,simple map 5 dims,5,600,1,169,47533,36287,0.0,4.597,0,-1.0,-1.0,3818
18,boa,simple map 5 dims,5,600,1,169,44784,36366,0.0,67.549,0,-1.0,-1.0,3914
18,emoa,simple map 5 dims,5,600,1,169,44784,36366,0.0,8.856,0,-1.0,-1.0,3914
19,boa,simple map 5 dims,5,600,1,169,44813,34390,0.015,52.901,0,-1.0,-1.0,3371
19,emoa,simple map 5 dims,5,600,1,169,44813,34390,0.0,6.255,0,-1.0,-1.0,3371
20,boa,simple map 5 dims,5,600,1,169,54422,41362,0.0,46.715,0,-1.0,-1.0,3626
20,emoa,simple map 5 dims,5,600,1,169,54422,41362,0.0,5.106,0,-1.0,-1.0,3626
21,boa,simple map 5 dims,5,600,1,169,89785,68714,0.0,154.887,0,-1.0,-1.0,7851
21,emoa,simple map 5 dims,5,600,1,169,89785,68714,0.0,18.065,0,-1.0,-1.0,7851
22,boa,simple map 5 dims,5,600,1,169,100951,78017,0.0,161.724,0,-1.0,-1.0,7566
