test_number,algorithm,map_name,num_dims,heuristic_time,search_time,num_solutions,time_limit,start,goal,n_generated,n_expanded,timeout,num_nondom_labels_max,num_nondom_labels_avg
1,boa,simple map 5 dims,5,0.0,7.175,1708,600,1,144,14227,10789,0,-1.0,-1.0
1,emoa,simple map 5 dims,5,0.0,1.041,1708,600,1,144,14227,10789,0,-1.0,-1.0
2,boa,simple map 5 dims,5,0.0,3.99,797,600,1,144,7887,6349,0,-1.0,-1.0
2,emoa,simple map 5 dims,5,0.0,0.641,797,600,1,144,7887,6349,0,-1.0,-1.0
3,boa,simple map 5 dims,5,0.0,5.429,1232,600,1,144,9617,7300,0,-1.0,-1.0
3,emoa,simple map 5 dims,5,0.0,0.616,1232,600,1,144,9617,7300,0,-1.0,-1.0
4,boa,simple map 5 dims,5,0.0,6.232,1162,600,1,144,11848,9893,0,-1.0,-1.0
4,emoa,simple map 5 dims,5,0.0,1.009,1162,600,1,144,11848,9893,0,-1.0,-1.0
5,boa,simple map 5 dims,5,0.003,4.0,954,600,1,144,10987,8592,0,-1.0,-1.0
5,emoa,simple map 5 dims,5,0.0,0.537,954,600,1,144,10987,8592,0,-1.0,-1.0
6,boa,simple map 5 dims,5,0.0,2.304,768,600,1,144,6343,5034,0,-1.0,-1.0
6,emoa,simple map 5 dims,5,0.0,0.331,768,600,1,144,6343,5034,0,-1.0,-1.0
7,boa,simple map 5 dims,5,0.0,15.559,2290,600,1,144,18090,13957,0,-1.0,-1.0
7,emoa,simple map 5 dims,5,0.0,2.128,2290,600,1,144,18090,13957,0,-1.0,-1.0
8,boa,simple map 5 dims,5,0.0,3.415,1120,600,1,144,10626,8559,0,-1.0,-1.0
8,emoa,simple map 5 dims,5,0.002,0.597,1120,600,1,144,10626,8559,0,-1.0,-1.0
9,boa,simple map 5 dims,5,0.0,0.789,443,600,1,144,4715,3527,0,-1.0,-1.0
9,emoa,simple map 5 dims,5,0.0,0.194,443,600,1,144,4715,3527,0,-1.0,-1.0
10,boa,simple map 5 dims,5,0.0,6.793,1151,600,1,144,12504,10328,0,-1.0,-1.0
10,emoa,simple map 5 dims,5,0.0,1.008,1151,600,1,144,12504,10328,0,-1.0,-1.0
11,boa,simple map 5 dims,5,0.0,8.303,1363,600,1,144,12749,10061,0,-1.0,-1.0
11,emoa,simple map 5 dims,5,0.0,1.093,1363,600,1,144,12749,10061,0,-1.0,-1.0
12,boa,simple map 5 dims,5,0.008,4.704,1146,600,1,144,13851,10767,0,-1.0,-1.0
12,emoa,simple map 5 dims,5,0.0,0.735,1146,600,1,144,13851,10767,0,-1.0,-1.0
13,boa,simple map 5 dims,5,0.0,1.302,462,600,1,144,5244,4189,0,-1.0,-1.0
13,emoa,simple map 5 dims,5,0.002,0.325,462,600,1,144,5244,4189,0,-1.0,-1.0
14,boa,simple map 5 dims,5,0.002,10.618,1977,600,1,144,17973,13618,0,-1.0,-1.0
14,emoa,simple map 5 dims,5,0.0,1.181,1977,600,1,144,17973,13618,0,-1.0,-1.0
15,boa,simple map 5 dims,5,0.0,15.257,1967,600,1,144,18225,14415,0,-1.0,-1.0
15,emoa,simple map 5 dims,5,0.0,1.852,1967,600,1,144,18225,14415,0,-1.0,-1.0
16,boa,simple map 5 dims,5,0.0,5.937,1134,600,1,144,10149,8302,0,-1.0,-1.0
16,emoa,simple map 5 dims,5,0.0,0.929,1134,600,1,144,10149,8302,0,-1.0,-1.0
17,boa,simple map 5 dims,5,0.007,16.593,1779,600,1,144,16083,13025,0,-1.0,-1.0
17,emoa,simple map 5 dims,5,0.0,1.93,1779,600,1,144,16083,13025,0,-1.0,-1.0
18,boa,simple map 5 dims,5,0.0,36.421,2901,600,1,144,21489,17396,0,-1.0,-1.0
18,emoa,simple map 5 dims,5,0.007,5.627,2901,600,1,144,21489,17396,0,-1.0,-1.0
19,boa,simple map 5 dims,5,0.007,1.906,812,600,1,144,8093,6275,0,-1.0,-1.0
19,emoa,simple map 5 dims,5,0.008,0.346,812,600,1,144,8093,6275,0,-1.0,-1.0
20,boa,simple map 5 dims,5,0.0,5.695,1226,600,1,144,12070,9465,0,-1.0,-1.0
20,emoa,simple map 5 dims,5,0.0,1.086,1226,600,1,144,12070,9465,0,-1.0,-1.0
21,boa,simple map 5 dims,5,0.0,10.846,1337,600,1,144,12413,10023,0,-1.0,-1.0
21,emoa,simple map 5 dims,5,0.008,1.031,1337,600,1,144,12413,10023,0,-1.0,-1.0
22,boa,simple map 5 dims,5,0.0,32.861,2934,600,1,144,26490,21732,0,-1.0,-1.0
22,emoa,simple map 5 dims,5,0.0,4.407,2934,600,1,144,26490,21732,0,-1.0,-1.0
23,boa,simple map 5 dims,5,0.0,6.335,1348,600,1,144,9598,7433,0,-1.0,-1.0
23,emoa,simple map 5 dims,5,0.0,0.691,1348,600,1,144,9598,7433,0,-1.0,-1.0
24,boa,simple map 5 dims,5,0.0,21.647,3050,600,1,144,26468,19397,0,-1.0,-1.0
24,emoa,simple map 5 dims,5,0.0,2.833,3050,600,1,144,26468,19397,0,-1.0,-1.0
25,boa,simple map 5 dims,5,0.0,1.361,520,600,1,144,5373,4161,0,-1.0,-1.0
25,emoa,simple map 5 dims,5,0.005,0.188,520,600,1,144,5373,4161,0,-1.0,-1.0
26,boa,simple map 5 dims,5,0.0,1.422,568,600,1,144,5384,4236,0,-1.0,-1.0
26,emoa,simple map 5 dims,5,0.0,0.232,568,600,1,144,5384,4236,0,-1.0,-1.0
27,boa,simple map 5 dims,5,0.016,9.568,1192,600,1,144,13398,10873,0,-1.0,-1.0
27,emoa,simple map 5 dims,5,0.003,1.477,1192,600,1,144,13398,10873,0,-1.0,-1.0
28,boa,simple map 5 dims,5,0.0,7.988,1242,600,1,144,15042,12443,0,-1.0,-1.0
28,emoa,simple map 5 dims,5,0.0,1.017,1242,600,1,144,15042,12443,0,-1.0,-1.0
29,boa,simple map 5 dims,5,0.0,0.692,415,600,1,144,5002,4023,0,-1.0,-1.0
29,emoa,simple map 5 dims,5,0.0,0.188,415,600,1,144,5002,4023,0,-1.0,-1.0
30,boa,simple map 5 dims,5,0.0,3.877,1002,600,1,144,8226,6490,0,-1.0,-1.0
30,emoa,simple map 5 dims,5,0.0,0.534,1002,600,1,144,8226,6490,0,-1.0,-1.0
31,boa,simple map 5 dims,5,0.015,6.649,1261,600,1,144,11830,9605,0,-1.0,-1.0
31,emoa,simple map 5 dims,5,0.014,0.786,1261,600,1,144,11830,9605,0,-1.0,-1.0
32,boa,simple map 5 dims,5,0.005,6.824,907,600,1,144,12509,9918,0,-1.0,-1.0
32,emoa,simple map 5 dims,5,0.0,1.882,907,600,1,144,12509,9918,0,-1.0,-1.0
33,boa,simple map 5 dims,5,0.0,7.026,1482,600,1,144,11839,9157,0,-1.0,-1.0
33,emoa,simple map 5 dims,5,0.015,0.899,1482,600,1,144,11839,9157,0,-1.0,-1.0
34,boa,simple map 5 dims,5,0.0,7.834,1399,600,1,144,14853,12049,0,-1.0,-1.0
34,emoa,simple map 5 dims,5,0.0,1.009,1399,600,1,144,14853,12049,0,-1.0,-1.0
35,boa,simple map 5 dims,5,0.011,18.059,2570,600,1,144,19125,14724,0,-1.0,-1.0
35,emoa,simple map 5 dims,5,0.003,2.942,2570,600,1,144,19125,14724,0,-1.0,-1.0
36,boa,simple map 5 dims,5,0.0,1.186,672,600,1,144,5611,4340,0,-1.0,-1.0
36,emoa,simple map 5 dims,5,0.0,0.238,672,600,1,144,5611,4340,0,-1.0,-1.0
37,boa,simple map 5 dims,5,0.0,0.677,406,600,1,144,3965,3078,0,-1.0,-1.0
37,emoa,simple map 5 dims,5,0.0,0.126,406,600,1,144,3965,3078,0,-1.0,-1.0
38,boa,simple map 5 dims,5,0.0,7.933,1460,600,1,144,13067,10348,0,-1.0,-1.0
38,emoa,simple map 5 dims,5,0.0,1.076,1460,600,1,144,13067,10348,0,-1.0,-1.0
39,boa,simple map 5 dims,5,0.0,2.173,892,600,1,144,9451,6924,0,-1.0,-1.0
39,emoa,simple map 5 dims,5,0.0,0.461,892,600,1,144,9451,6924,0,-1.0,-1.0
40,boa,simple map 5 dims,5,0.0,4.408,759,600,1,144,8243,6805,0,-1.0,-1.0
40,emoa,simple map 5 dims,5,0.0,0.583,759,600,1,144,8243,6805,0,-1.0,-1.0
41,boa,simple map 5 dims,5,0.0,66.13,3980,600,1,144,30746,24606,0,-1.0,-1.0
41,emoa,simple map 5 dims,5,0.0,6.745,3980,600,1,144,30746,24606,0,-1.0,-1.0
42,boa,simple map 5 dims,5,0.0,4.47,1053,600,1,144,14333,11567,0,-1.0,-1.0
42,emoa,simple map 5 dims,5,0.0,0.825,1053,600,1,144,14333,11567,0,-1.0,-1.0
43,boa,simple map 5 dims,5,0.013,0.693,401,600,1,144,4696,3654,0,-1.0,-1.0
43,emoa,simple map 5 dims,5,0.0,0.158,401,600,1,144,4696,3654,0,-1.0,-1.0
44,boa,simple map 5 dims,5,0.008,1.346,683,600,1,144,5673,4195,0,-1.0,-1.0
44,emoa,simple map 5 dims,5,0.0,0.254,683,600,1,144,5673,4195,0,-1.0,-1.0
45,boa,simple map 5 dims,5,0.0,2.128,745,600,1,144,6441,4975,0,-1.0,-1.0
45,emoa,simple map 5 dims,5,0.0,0.377,745,600,1,144,6441,4975,0,-1.0,-1.0
46,boa,simple map 5 dims,5,0.002,1.185,330,600,1,144,4783,3904,0,-1.0,-1.0
46,emoa,simple map 5 dims,5,0.002,0.249,330,600,1,144,4783,3904,0,-1.0,-1.0
47,boa,simple map 5 dims,5,0.0,0.677,417,600,1,144,4963,3374,0,-1.0,-1.0
47,emoa,simple map 5 dims,5,0.0,0.172,417,600,1,144,4963,3374,0,-1.0,-1.0
48,boa,simple map 5 dims,5,0.0,1.306,560,600,1,144,5441,4401,0,-1.0,-1.0
48,emoa,simple map 5 dims,5,0.002,0.283,560,600,1,144,5441,4401,0,-1.0,-1.0
49,boa,simple map 5 dims,5,0.0,7.984,1479,600,1,144,14558,10971,0,-1.0,-1.0
49,emoa,simple map 5 dims,5,0.006,0.97,1479,600,1,144,14558,10971,0,-1.0,-1.0
50,boa,simple map 5 dims,5,0.0,2.944,941,600,1,144,11213,8473,0,-1.0,-1.0
50,emoa,simple map 5 dims,5,0.0,0.65,941,600,1,144,11213,8473,0,-1.0,-1.0
