test_number,algorithm,map_name,num_dims,heuristic_time,search_time,num_solutions,time_limit,start,goal,n_generated,n_expanded,timeout,num_nondom_labels_max,num_nondom_labels_avg
1,boa,simple map 4 dims,4,0.012,6.782,1419,600,1,225,26464,21095,0,-1.0,-1.0
1,emoa,simple map 4 dims,4,0.013,1.343,1419,600,1,225,26464,21095,0,-1.0,-1.0
2,boa,simple map 4 dims,4,0.001,4.938,1145,600,1,225,21382,16655,0,-1.0,-1.0
2,emoa,simple map 4 dims,4,0.0,1.149,1145,600,1,225,21382,16655,0,-1.0,-1.0
3,boa,simple map 4 dims,4,0.0,2.805,871,600,1,225,17561,13253,0,-1.0,-1.0
3,emoa,simple map 4 dims,4,0.0,0.678,871,600,1,225,17561,13253,0,-1.0,-1.0
4,boa,simple map 4 dims,4,0.015,15.768,2384,600,1,225,41999,31787,0,-1.0,-1.0
4,emoa,simple map 4 dims,4,0.0,2.507,2384,600,1,225,41999,31787,0,-1.0,-1.0
5,boa,simple map 4 dims,4,0.0,2.664,861,600,1,225,15774,12127,0,-1.0,-1.0
5,emoa,simple map 4 dims,4,0.0,0.615,861,600,1,225,15774,12127,0,-1.0,-1.0
6,boa,simple map 4 dims,4,0.0,2.178,570,600,1,225,13521,11150,0,-1.0,-1.0
6,emoa,simple map 4 dims,4,0.015,0.569,570,600,1,225,13521,11150,0,-1.0,-1.0
7,boa,simple map 4 dims,4,0.0,3.675,921,600,1,225,14798,11670,0,-1.0,-1.0
7,emoa,simple map 4 dims,4,0.016,0.708,921,600,1,225,14798,11670,0,-1.0,-1.0
8,boa,simple map 4 dims,4,0.0,5.372,1374,600,1,225,25363,18521,0,-1.0,-1.0
8,emoa,simple map 4 dims,4,0.0,1.023,1374,600,1,225,25363,18521,0,-1.0,-1.0
9,boa,simple map 4 dims,4,0.0,15.04,2245,600,1,225,45731,34646,0,-1.0,-1.0
9,emoa,simple map 4 dims,4,0.016,2.431,2245,600,1,225,45731,34646,0,-1.0,-1.0
10,boa,simple map 4 dims,4,0.0,5.782,873,600,1,225,19117,16065,0,-1.0,-1.0
10,emoa,simple map 4 dims,4,0.015,1.023,873,600,1,225,19117,16065,0,-1.0,-1.0
11,boa,simple map 4 dims,4,0.0,3.137,1102,600,1,225,15123,11600,0,-1.0,-1.0
11,emoa,simple map 4 dims,4,0.016,0.644,1102,600,1,225,15123,11600,0,-1.0,-1.0
12,boa,simple map 4 dims,4,0.0,7.446,1399,600,1,225,23951,18852,0,-1.0,-1.0
12,emoa,simple map 4 dims,4,0.0,1.411,1399,600,1,225,23951,18852,0,-1.0,-1.0
13,boa,simple map 4 dims,4,0.0,3.91,615,600,1,225,17383,14495,0,-1.0,-1.0
13,emoa,simple map 4 dims,4,0.0,0.932,615,600,1,225,17383,14495,0,-1.0,-1.0
14,boa,simple map 4 dims,4,0.008,4.06,958,600,1,225,21743,16144,0,-1.0,-1.0
14,emoa,simple map 4 dims,4,0.015,0.84,958,600,1,225,21743,16144,0,-1.0,-1.0
15,boa,simple map 4 dims,4,0.0,5.534,1252,600,1,225,23157,17631,0,-1.0,-1.0
15,emoa,simple map 4 dims,4,0.008,1.024,1252,600,1,225,23157,17631,0,-1.0,-1.0
16,boa,simple map 4 dims,4,0.0,20.298,3066,600,1,225,41943,33866,0,-1.0,-1.0
16,emoa,simple map 4 dims,4,0.0,3.12,3066,600,1,225,41943,33866,0,-1.0,-1.0
17,boa,simple map 4 dims,4,0.0,3.167,756,600,1,225,16145,13148,0,-1.0,-1.0
17,emoa,simple map 4 dims,4,0.0,0.774,756,600,1,225,16145,13148,0,-1.0,-1.0
18,boa,simple map 4 dims,4,0.008,6.623,1730,600,1,225,24824,18943,0,-1.0,-1.0
18,emoa,simple map 4 dims,4,0.0,1.189,1730,600,1,225,24824,18943,0,-1.0,-1.0
19,boa,simple map 4 dims,4,0.0,4.303,1132,600,1,225,19220,15626,0,-1.0,-1.0
19,emoa,simple map 4 dims,4,0.0,0.851,1132,600,1,225,19220,15626,0,-1.0,-1.0
20,boa,simple map 4 dims,4,0.016,13.768,1787,600,1,225,36194,30491,0,-1.0,-1.0
20,emoa,simple map 4 dims,4,0.0,2.603,1787,600,1,225,36194,30491,0,-1.0,-1.0
21,boa,simple map 4 dims,4,0.0,2.014,654,600,1,225,12512,9770,0,-1.0,-1.0
21,emoa,simple map 4 dims,4,0.0,0.466,654,600,1,225,12512,9770,0,-1.0,-1.0
22,boa,simple map 4 dims,4,0.0,1.514,552,600,1,225,9525,7610,0,-1.0,-1.0
22,emoa,simple map 4 dims,4,0.0,0.376,552,600,1,225,9525,7610,0,-1.0,-1.0
23,boa,simple map 4 dims,4,0.0,3.206,890,600,1,225,13096,10419,0,-1.0,-1.0
23,emoa,simple map 4 dims,4,0.0,0.601,890,600,1,225,13096,10419,0,-1.0,-1.0
24,boa,simple map 4 dims,4,0.016,5.63,1247,600,1,225,23657,18763,0,-1.0,-1.0
24,emoa,simple map 4 dims,4,0.0,1.183,1247,600,1,225,23657,18763,0,-1.0,-1.0
25,boa,simple map 4 dims,4,0.0,23.706,2196,600,1,225,48584,39353,0,-1.0,-1.0
25,emoa,simple map 4 dims,4,0.0,3.31,2196,600,1,225,48584,39353,0,-1.0,-1.0
26,boa,simple map 4 dims,4,0.006,2.615,803,600,1,225,20650,15254,0,-1.0,-1.0
26,emoa,simple map 4 dims,4,0.015,0.679,803,600,1,225,20650,15254,0,-1.0,-1.0
