test_number,algorithm,map_name,num_dims,time_limit,start,goal,n_generated,n_expanded,heuristic_time,search_time,timeout,num_nondom_labels_max,num_nondom_labels_avg,num_solutions
1,boa,simple map 4 dims,4,600,1,169,15025,10960,0.0,2.028,0,-1.0,-1.0,946
1,emoa,simple map 4 dims,4,600,1,169,15025,10960,0.0,0.457,0,-1.0,-1.0,946
2,boa,simple map 4 dims,4,600,1,169,13457,10277,0.0,1.635,0,-1.0,-1.0,882
2,emoa,simple map 4 dims,4,600,1,169,13457,10277,0.0,0.393,0,-1.0,-1.0,882
3,boa,simple map 4 dims,4,600,1,169,12312,9473,0.0,1.403,0,-1.0,-1.0,633
3,emoa,simple map 4 dims,4,600,1,169,12312,9473,0.0,0.33,0,-1.0,-1.0,633
4,boa,simple map 4 dims,4,600,1,169,18349,15155,0.0,5.415,0,-1.0,-1.0,1263
4,emoa,simple map 4 dims,4,600,1,169,18349,15155,0.0,0.802,0,-1.0,-1.0,1263
5,boa,simple map 4 dims,4,600,1,169,18752,14039,0.012,2.61,0,-1.0,-1.0,1108
5,emoa,simple map 4 dims,4,600,1,169,18752,14039,0.0,0.597,0,-1.0,-1.0,1108
6,boa,simple map 4 dims,4,600,1,169,25408,20128,0.015,5.398,0,-1.0,-1.0,1627
6,emoa,simple map 4 dims,4,600,1,169,25408,20128,0.015,0.944,0,-1.0,-1.0,1627
7,boa,simple map 4 dims,4,600,1,169,20916,16689,0.0,4.798,0,-1.0,-1.0,1195
7,emoa,simple map 4 dims,4,600,1,169,20916,16689,0.0,0.945,0,-1.0,-1.0,1195
8,boa,simple map 4 dims,4,600,1,169,15881,11908,0.0,1.76,0,-1.0,-1.0,921
8,emoa,simple map 4 dims,4,600,1,169,15881,11908,0.0,0.409,0,-1.0,-1.0,921
9,boa,simple map 4 dims,4,600,1,169,25960,20295,0.0,6.705,0,-1.0,-1.0,1818
9,emoa,simple map 4 dims,4,600,1,169,25960,20295,0.0,1.098,0,-1.0,-1.0,1818
10,boa,simple map 4 dims,4,600,1,169,13914,10194,0.0,1.686,0,-1.0,-1.0,904
10,emoa,simple map 4 dims,4,600,1,169,13914,10194,0.0,0.409,0,-1.0,-1.0,904
11,boa,simple map 4 dims,4,600,1,169,13962,10098,0.0,1.802,0,-1.0,-1.0,889
11,emoa,simple map 4 dims,4,600,1,169,13962,10098,0.009,0.447,0,-1.0,-1.0,889
12,boa,simple map 4 dims,4,600,1,169,5774,4249,0.0,0.346,0,-1.0,-1.0,392
12,emoa,simple map 4 dims,4,600,1,169,5774,4249,0.002,0.104,0,-1.0,-1.0,392
13,boa,simple map 4 dims,4,600,1,169,17017,13308,0.0,2.645,0,-1.0,-1.0,1075
13,emoa,simple map 4 dims,4,600,1,169,17017,13308,0.0,0.597,0,-1.0,-1.0,1075
14,boa,simple map 4 dims,4,600,1,169,28597,21416,0.0,5.007,0,-1.0,-1.0,1611
14,emoa,simple map 4 dims,4,600,1,169,28597,21416,0.0,1.119,0,-1.0,-1.0,1611
15,boa,simple map 4 dims,4,600,1,169,15573,11692,0.0,3.167,0,-1.0,-1.0,1037
15,emoa,simple map 4 dims,4,600,1,169,15573,11692,0.0,0.557,0,-1.0,-1.0,1037
16,boa,simple map 4 dims,4,600,1,169,15156,12072,0.0,2.155,0,-1.0,-1.0,905
16,emoa,simple map 4 dims,4,600,1,169,15156,12072,0.0,0.472,0,-1.0,-1.0,905
17,boa,simple map 4 dims,4,600,1,169,18371,14823,0.0,3.923,0,-1.0,-1.0,1088
17,emoa,simple map 4 dims,4,600,1,169,18371,14823,0.0,0.691,0,-1.0,-1.0,1088
18,boa,simple map 4 dims,4,600,1,169,14352,10787,0.0,1.422,0,-1.0,-1.0,695
18,emoa,simple map 4 dims,4,600,1,169,14352,10787,0.0,0.329,0,-1.0,-1.0,695
19,boa,simple map 4 dims,4,600,1,169,12863,9439,0.0,1.464,0,-1.0,-1.0,754
19,emoa,simple map 4 dims,4,600,1,169,12863,9439,0.015,0.353,0,-1.0,-1.0,754
20,boa,simple map 4 dims,4,600,1,169,15706,11987,0.0,2.011,0,-1.0,-1.0,793
20,emoa,simple map 4 dims,4,600,1,169,15706,11987,0.014,0.445,0,-1.0,-1.0,793
21,boa,simple map 4 dims,4,600,1,169,21719,16520,0.0,3.805,0,-1.0,-1.0,1532
21,emoa,simple map 4 dims,4,600,1,169,21719,16520,0.0,0.767,0,-1.0,-1.0,1532
22,boa,simple map 4 dims,4,600,1,169,18279,14749,0.004,4.383,0,-1.0,-1.0,1355
22,emoa,simple map 4 dims,4,600,1,169,18279,14749,0.0,0.566,0,-1.0,-1.0,1355
23,boa,simple map 4 dims,4,600,1,169,41485,32425,0.0,15.23,0,-1.0,-1.0,2648
23,emoa,simple map 4 dims,4,600,1,169,41485,32425,0.0,2.331,0,-1.0,-1.0,2648
24,boa,simple map 4 dims,4,600,1,169,29363,21268,0.0,4.631,0,-1.0,-1.0,1582
24,emoa,simple map 4 dims,4,600,1,169,29363,21268,0.0,0.9,0,-1.0,-1.0,1582
25,boa,simple map 4 dims,4,600,1,169,12396,9429,0.0,1.542,0,-1.0,-1.0,767
25,emoa,simple map 4 dims,4,600,1,169,12396,9429,0.0,0.362,0,-1.0,-1.0,767
