test_number,algorithm,map_name,num_dims,time_limit,start,goal,n_generated,n_expanded,heuristic_time,search_time,timeout,num_nondom_labels_max,num_nondom_labels_avg,num_solutions
1,boa,simple map 4 dims,4,600,1,169,17785,14153,0.0,3.178,0,-1.0,-1.0,896
1,emoa,simple map 4 dims,4,600,1,169,17785,14153,0.0,0.504,0,-1.0,-1.0,896
2,boa,simple map 4 dims,4,600,1,169,6956,5434,0.01,0.661,0,-1.0,-1.0,430
2,emoa,simple map 4 dims,4,600,1,169,6956,5434,0.0,0.158,0,-1.0,-1.0,430
3,boa,simple map 4 dims,4,600,1,169,13110,9866,0.01,1.731,0,-1.0,-1.0,903
3,emoa,simple map 4 dims,4,600,1,169,13110,9866,0.0,0.378,0,-1.0,-1.0,903
4,boa,simple map 4 dims,4,600,1,169,15779,11913,0.012,2.067,0,-1.0,-1.0,760
4,emoa,simple map 4 dims,4,600,1,169,15779,11913,0.0,0.504,0,-1.0,-1.0,760
5,boa,simple map 4 dims,4,600,1,169,8913,6667,0.0,0.649,0,-1.0,-1.0,380
5,emoa,simple map 4 dims,4,600,1,169,8913,6667,0.015,0.189,0,-1.0,-1.0,380
6,boa,simple map 4 dims,4,600,1,169,18598,15220,0.008,3.856,0,-1.0,-1.0,1198
6,emoa,simple map 4 dims,4,600,1,169,18598,15220,0.0,0.802,0,-1.0,-1.0,1198
7,boa,simple map 4 dims,4,600,1,169,27975,20908,0.0,5.393,0,-1.0,-1.0,1674
7,emoa,simple map 4 dims,4,600,1,169,27975,20908,0.0,1.085,0,-1.0,-1.0,1674
8,boa,simple map 4 dims,4,600,1,169,11496,9148,0.0,1.967,0,-1.0,-1.0,696
8,emoa,simple map 4 dims,4,600,1,169,11496,9148,0.0,0.373,0,-1.0,-1.0,696
9,boa,simple map 4 dims,4,600,1,169,12712,10035,0.0,2.045,0,-1.0,-1.0,538
9,emoa,simple map 4 dims,4,600,1,169,12712,10035,0.0,0.408,0,-1.0,-1.0,538
10,boa,simple map 4 dims,4,600,1,169,6061,4798,0.0,0.582,0,-1.0,-1.0,356
10,emoa,simple map 4 dims,4,600,1,169,6061,4798,0.015,0.142,0,-1.0,-1.0,356
11,boa,simple map 4 dims,4,600,1,169,18914,14571,0.0,2.798,0,-1.0,-1.0,1232
11,emoa,simple map 4 dims,4,600,1,169,18914,14571,0.0,0.608,0,-1.0,-1.0,1232
12,boa,simple map 4 dims,4,600,1,169,17982,14049,0.0,2.478,0,-1.0,-1.0,1174
12,emoa,simple map 4 dims,4,600,1,169,17982,14049,0.0,0.549,0,-1.0,-1.0,1174
13,boa,simple map 4 dims,4,600,1,169,16934,12793,0.0,2.628,0,-1.0,-1.0,1230
13,emoa,simple map 4 dims,4,600,1,169,16934,12793,0.0,0.471,0,-1.0,-1.0,1230
14,boa,simple map 4 dims,4,600,1,169,33529,25055,0.0,8.658,0,-1.0,-1.0,2171
14,emoa,simple map 4 dims,4,600,1,169,33529,25055,0.008,1.59,0,-1.0,-1.0,2171
15,boa,simple map 4 dims,4,600,1,169,16717,12186,0.0,2.397,0,-1.0,-1.0,1209
15,emoa,simple map 4 dims,4,600,1,169,16717,12186,0.0,0.487,0,-1.0,-1.0,1209
16,boa,simple map 4 dims,4,600,1,169,11497,9325,0.0,2.046,0,-1.0,-1.0,689
16,emoa,simple map 4 dims,4,600,1,169,11497,9325,0.0,0.41,0,-1.0,-1.0,689
17,boa,simple map 4 dims,4,600,1,169,15431,11731,0.0,2.266,0,-1.0,-1.0,1086
17,emoa,simple map 4 dims,4,600,1,169,15431,11731,0.0,0.471,0,-1.0,-1.0,1086
18,boa,simple map 4 dims,4,600,1,169,23067,17362,0.0,4.245,0,-1.0,-1.0,1440
18,emoa,simple map 4 dims,4,600,1,169,23067,17362,0.0,0.769,0,-1.0,-1.0,1440
19,boa,simple map 4 dims,4,600,1,169,11811,8664,0.0,1.119,0,-1.0,-1.0,868
19,emoa,simple map 4 dims,4,600,1,169,11811,8664,0.001,0.321,0,-1.0,-1.0,868
