test_number,algorithm,map_name,num_dims,time_limit,start,goal,n_generated,n_expanded,heuristic_time,search_time,timeout,num_nondom_labels_max,num_nondom_labels_avg,num_solutions
1,boa,simple map 4 dims,4,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0
1,emoa,simple map 4 dims,4,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0
2,boa,simple map 4 dims,4,600,1,169,2444,1772,0.0,0.1,0,-1.0,-1.0,190
2,emoa,simple map 4 dims,4,600,1,169,2444,1772,0.016,0.031,0,-1.0,-1.0,190
3,boa,simple map 4 dims,4,600,1,169,2483,1852,0.009,0.055,0,-1.0,-1.0,103
3,emoa,simple map 4 dims,4,600,1,169,2483,1852,0.0,0.037,0,-1.0,-1.0,103
4,boa,simple map 4 dims,4,600,1,169,7089,5747,0.0,0.727,0,-1.0,-1.0,553
4,emoa,simple map 4 dims,4,600,1,169,7089,5747,0.0,0.161,0,-1.0,-1.0,553
5,boa,simple map 4 dims,4,600,1,169,2437,1865,0.0,0.079,0,-1.0,-1.0,166
5,emoa,simple map 4 dims,4,600,1,169,2437,1865,0.0,0.032,0,-1.0,-1.0,166
6,boa,simple map 4 dims,4,600,1,169,4924,3513,0.0,0.324,0,-1.0,-1.0,347
6,emoa,simple map 4 dims,4,600,1,169,4924,3513,0.0,0.094,0,-1.0,-1.0,347
7,boa,simple map 4 dims,4,600,1,169,3029,2453,0.0,0.172,0,-1.0,-1.0,176
7,emoa,simple map 4 dims,4,600,1,169,3029,2453,0.0,0.063,0,-1.0,-1.0,176
8,boa,simple map 4 dims,4,600,1,169,8594,6822,0.0,0.688,0,-1.0,-1.0,554
8,emoa,simple map 4 dims,4,600,1,169,8594,6822,0.0,0.19,0,-1.0,-1.0,554
9,boa,simple map 4 dims,4,600,1,169,4715,3920,0.0,0.565,0,-1.0,-1.0,452
9,emoa,simple map 4 dims,4,600,1,169,4715,3920,0.009,0.109,0,-1.0,-1.0,452
10,boa,simple map 4 dims,4,600,1,169,3386,2760,0.0,0.281,0,-1.0,-1.0,251
10,emoa,simple map 4 dims,4,600,1,169,3386,2760,0.0,0.067,0,-1.0,-1.0,251
11,boa,simple map 4 dims,4,600,1,169,11961,10138,0.0,2.509,0,-1.0,-1.0,862
11,emoa,simple map 4 dims,4,600,1,169,11961,10138,0.0,0.395,0,-1.0,-1.0,862
12,boa,simple map 4 dims,4,600,1,169,3882,3223,0.0,0.268,0,-1.0,-1.0,239
12,emoa,simple map 4 dims,4,600,1,169,3882,3223,0.0,0.072,0,-1.0,-1.0,239
13,boa,simple map 4 dims,4,600,1,169,9025,7390,0.0,0.899,0,-1.0,-1.0,575
13,emoa,simple map 4 dims,4,600,1,169,9025,7390,0.0,0.22,0,-1.0,-1.0,575
14,boa,simple map 4 dims,4,600,1,169,9785,7780,0.0,1.12,0,-1.0,-1.0,723
14,emoa,simple map 4 dims,4,600,1,169,9785,7780,0.0,0.285,0,-1.0,-1.0,723
