test_number,algorithm,map_name,num_dims,time_limit,start,goal,n_generated,n_expanded,heuristic_time,search_time,timeout,num_nondom_labels_max,num_nondom_labels_avg,num_solutions
1,boa,simple map 4 dims,4,600,1,169,17785,14153,0.0,3.036,0,-1.0,-1.0,896
1,emoa,simple map 4 dims,4,600,1,169,17785,14153,0.0,0.52,0,-1.0,-1.0,896
2,boa,simple map 4 dims,4,600,1,169,6956,5434,0.0,0.709,0,-1.0,-1.0,430
2,emoa,simple map 4 dims,4,600,1,169,6956,5434,0.0,0.189,0,-1.0,-1.0,430
3,boa,simple map 4 dims,4,600,1,169,13110,9866,0.0,1.701,0,-1.0,-1.0,903
3,emoa,simple map 4 dims,4,600,1,169,13110,9866,0.0,0.382,0,-1.0,-1.0,903
4,boa,simple map 4 dims,4,600,1,169,15779,11913,0.0,2.029,0,-1.0,-1.0,760
4,emoa,simple map 4 dims,4,600,1,169,15779,11913,0.0,0.441,0,-1.0,-1.0,760
5,boa,simple map 4 dims,4,600,1,169,8913,6667,0.015,0.678,0,-1.0,-1.0,380
5,emoa,simple map 4 dims,4,600,1,169,8913,6667,0.0,0.203,0,-1.0,-1.0,380
6,boa,simple map 4 dims,4,600,1,169,18598,15220,0.0,3.73,0,-1.0,-1.0,1198
6,emoa,simple map 4 dims,4,600,1,169,18598,15220,0.016,0.74,0,-1.0,-1.0,1198
7,boa,simple map 4 dims,4,600,1,169,27975,20908,0.0,5.475,0,-1.0,-1.0,1674
7,emoa,simple map 4 dims,4,600,1,169,27975,20908,0.0,1.054,0,-1.0,-1.0,1674
8,boa,simple map 4 dims,4,600,1,169,11496,9148,0.0,2.019,0,-1.0,-1.0,696
8,emoa,simple map 4 dims,4,600,1,169,11496,9148,0.0,0.377,0,-1.0,-1.0,696
9,boa,simple map 4 dims,4,600,1,169,12712,10035,0.0,2.015,0,-1.0,-1.0,538
9,emoa,simple map 4 dims,4,600,1,169,12712,10035,0.0,0.335,0,-1.0,-1.0,538
10,boa,simple map 4 dims,4,600,1,169,6061,4798,0.0,0.533,0,-1.0,-1.0,356
10,emoa,simple map 4 dims,4,600,1,169,6061,4798,0.016,0.127,0,-1.0,-1.0,356
11,boa,simple map 4 dims,4,600,1,169,18914,14571,0.0,2.812,0,-1.0,-1.0,1232
11,emoa,simple map 4 dims,4,600,1,169,18914,14571,0.0,0.612,0,-1.0,-1.0,1232
12,boa,simple map 4 dims,4,600,1,169,17982,14049,0.0,2.548,0,-1.0,-1.0,1174
12,emoa,simple map 4 dims,4,600,1,169,17982,14049,0.007,0.597,0,-1.0,-1.0,1174
13,boa,simple map 4 dims,4,600,1,169,16934,12793,0.0,2.311,0,-1.0,-1.0,1230
13,emoa,simple map 4 dims,4,600,1,169,16934,12793,0.0,0.539,0,-1.0,-1.0,1230
14,boa,simple map 4 dims,4,600,1,169,33529,25055,0.0,8.763,0,-1.0,-1.0,2171
14,emoa,simple map 4 dims,4,600,1,169,33529,25055,0.0,1.45,0,-1.0,-1.0,2171
