algorithm,map_name,num_dims,time_limit,start,goal,n_generated,n_expanded,heuristic_time,search_time,timeout,num_nondom_labels_max,num_nondom_labels_avg,num_solutions,solutions_labels
emoa,NY,4,600,1,225,7746,6495,0.0,0.212,0,-1.0,-1.0,464,"dict_keys([22507, 22456, 22450, 22322, 22256, 22223, 22180, 22147, 22114, 22016, 21999, 21887, 21738, 21687, 21672, 21666, 21594, 21565, 21490, 21459, 21430, 21309, 21092, 21063, 21030, 20906, 20857, 20817, 20811, 20782, 21280, 20739, 21204, 20663, 20477, 20412, 20356, 20302, 20170, 19947, 19879, 19854, 19793, 19714, 19544, 19344, 19138, 19109, 19604, 19063, 19024, 19018, 18911, 22064, 18818, 18767, 18629, 18510, 18463, 18333, 18304, 18171, 18029, 17975, 17869, 17840, 17805, 17722, 17689, 17594, 17552, 17520, 17339, 17314, 17217, 17185, 17152, 17127, 17098, 22483, 17073, 21179, 17392, 16851, 16753, 16724, 16655, 16630, 16593, 16517, 18126, 16503, 20248, 16461, 16259, 16227, 16147, 18271, 16107, 15980, 15951, 20195, 18572, 15867, 15854, 15816, 15658, 15438, 15108, 19915, 15046, 14939, 14896, 14761, 14739, 14630, 14165, 14159, 14153, 19553, 19012, 16307, 14143, 19006, 15760, 14137, 14124, 14086, 22081, 13966, 13937, 21356, 14864, 13782, 13776, 18601, 13732, 13587, 5297, 5288, 3226, 5248, 5179, 20331, 4101, 5011, 2666, 10890, 4960, 4874, 762, 6930, 21631, 4860, 4791, 15800, 3898, 4595, 4081, 1254, 9125, 4508, 5793, 4195, 18004, 3938, 17747, 3681, 13190, 4157, 21117, 559, 945, 14303, 4565, 20047, 15719, 14096, 8686, 3254, 11992, 5147, 4004, 3242, 11813, 3157, 20989, 3136, 4979, 2815, 17016, 245, 21744, 19580, 2809, 2758, 3301, 1245, 16989, 14825, 10497, 4057, 11510, 10113, 1033, 20005, 1070, 2132, 13372, 9585, 2535, 16005, 14923, 857, 19244, 11129, 10790, 12332, 750, 614, 7296, 1711, 2225, 13276, 135, 17664, 6303, 5325, 1960, 9670, 576, 1347, 22293, 1735, 112, 3277, 1654, 19805, 6280, 1879, 6248, 13995, 3175, 1444, 21150, 12494, 9248, 2215, 4743, 18944, 2173, 10397, 19454, 1060, 21397, 298, 4095, 18072, 1301, 7212, 3361, 17260, 2112, 2618, 1729, 5227, 2941, 7824, 4051, 12707, 21975, 19811, 1417, 8315, 3987, 12982, 307, 6475, 1723, 15339, 2355, 191, 21852, 13196, 3607, 7935, 22377, 3442, 394, 15570, 10160, 11445, 420, 5334, 465, 3766, 1226, 21911, 1353, 10091, 1435, 5141, 2977, 15363, 4543, 756, 3908, 7695, 19178, 6735, 10522, 1518, 544, 1560, 15194, 9784, 9943, 10200, 2209, 18473, 9276, 1663, 6412, 983, 2380, 17285, 7006, 18735, 4669, 5751, 6047, 9902, 313, 12215, 22406, 6176, 6418, 10273, 2660, 6447, 6469, 11939, 6529, 3289, 6535, 13217, 3295, 6541, 7312, 19769, 16523, 12195, 8895, 13223, 5129, 6752, 19425, 6441, 7523, 6857, 18246, 15541, 2016, 6885, 14574, 1590, 7000, 19030, 7128, 12632, 10468, 7222, 7736, 10049, 18101, 7281, 16564, 7367, 18539, 16916, 5555, 10965, 5218, 7923, 4312, 9722, 7929, 17897, 8700, 3236, 9728, 14212, 8261, 3798, 10831, 8290, 8344, 1566, 8599, 18217, 9020, 13132, 18430, 11397, 3823, 9233, 10154, 10170, 10213, 20979, 6913, 11241, 10244, 10250, 3370, 10403, 10663, 12205, 5282, 10692, 15075, 10747, 10821, 177, 12620, 4458, 10950, 15284, 1759, 2300, 10956, 16783, 11373, 11462, 11494, 286, 13270, 11647, 11676, 8645, 11891, 17635, 12225, 5270, 12303, 8570, 12357, 12614, 12417, 10917, 12540, 20692, 6626, 12577, 16932, 12604, 16970, 1281, 12642, 21678, 13022, 13171, 5135, 13250])"
boa,NY,4,600,1,225,7746,6495,0.0,2.129,0,-1.0,-1.0,464,"dict_keys([22507, 22456, 22450, 22322, 22256, 22223, 22180, 22147, 22114, 22016, 21999, 21887, 21738, 21687, 21672, 21666, 21594, 21565, 21490, 21459, 21430, 21309, 21092, 21063, 21030, 20906, 20857, 20817, 20811, 20782, 21280, 20739, 21204, 20663, 20477, 20412, 20356, 20302, 20170, 19947, 19879, 19854, 19793, 19714, 19544, 19344, 19138, 19109, 19604, 19063, 19024, 19018, 18911, 22064, 18818, 18767, 18629, 18510, 18463, 18333, 18304, 18171, 18029, 17975, 17869, 17840, 17805, 17722, 17689, 17594, 17552, 17520, 17339, 17314, 17217, 17185, 17152, 17127, 17098, 22483, 17073, 21179, 17392, 16851, 16753, 16724, 16655, 16630, 16593, 16517, 18126, 16503, 20248, 16461, 16259, 16227, 16147, 18271, 16107, 15980, 15951, 20195, 18572, 15867, 15854, 15816, 15658, 15438, 15108, 19915, 15046, 14939, 14896, 14761, 14739, 14630, 14165, 14159, 14153, 19553, 19012, 16307, 14143, 19006, 15760, 14137, 14124, 14086, 22081, 13966, 13937, 21356, 14864, 13782, 13776, 18601, 13732, 13587, 5297, 5288, 3226, 5248, 5179, 20331, 4101, 5011, 2666, 10890, 4960, 4874, 762, 6930, 21631, 4860, 4791, 15800, 3898, 4595, 4081, 1254, 9125, 4508, 5793, 4195, 18004, 3938, 17747, 3681, 13190, 4157, 21117, 559, 945, 14303, 4565, 20047, 15719, 14096, 8686, 3254, 11992, 5147, 4004, 3242, 11813, 3157, 20989, 3136, 4979, 2815, 17016, 245, 21744, 19580, 2809, 2758, 3301, 1245, 16989, 14825, 10497, 4057, 11510, 10113, 1033, 20005, 1070, 2132, 13372, 9585, 2535, 16005, 14923, 857, 19244, 11129, 10790, 12332, 750, 614, 7296, 1711, 2225, 13276, 135, 17664, 6303, 5325, 1960, 9670, 576, 1347, 22293, 1735, 112, 3277, 1654, 19805, 6280, 1879, 6248, 13995, 3175, 1444, 21150, 12494, 9248, 2215, 4743, 18944, 2173, 10397, 19454, 1060, 21397, 298, 4095, 18072, 1301, 7212, 3361, 17260, 2112, 2618, 1729, 5227, 2941, 7824, 4051, 12707, 21975, 19811, 1417, 8315, 3987, 12982, 307, 6475, 1723, 15339, 2355, 191, 21852, 13196, 3607, 7935, 22377, 3442, 394, 15570, 10160, 11445, 420, 5334, 465, 3766, 1226, 21911, 1353, 10091, 1435, 5141, 2977, 15363, 4543, 756, 3908, 7695, 19178, 6735, 10522, 1518, 544, 1560, 15194, 9784, 9943, 10200, 2209, 18473, 9276, 1663, 6412, 983, 2380, 17285, 7006, 18735, 4669, 5751, 6047, 9902, 313, 12215, 22406, 6176, 6418, 10273, 2660, 6447, 6469, 11939, 6529, 3289, 6535, 13217, 3295, 6541, 7312, 19769, 16523, 12195, 8895, 13223, 5129, 6752, 19425, 6441, 7523, 6857, 18246, 15541, 2016, 6885, 14574, 1590, 7000, 19030, 7128, 12632, 10468, 7222, 7736, 10049, 18101, 7281, 16564, 7367, 18539, 16916, 5555, 10965, 5218, 7923, 4312, 9722, 7929, 17897, 8700, 3236, 9728, 14212, 8261, 3798, 10831, 8290, 8344, 1566, 8599, 18217, 9020, 13132, 18430, 11397, 3823, 9233, 10154, 10170, 10213, 20979, 6913, 11241, 10244, 10250, 3370, 10403, 10663, 12205, 5282, 10692, 15075, 10747, 10821, 177, 12620, 4458, 10950, 15284, 1759, 2300, 10956, 16783, 11373, 11462, 11494, 286, 13270, 11647, 11676, 8645, 11891, 17635, 12225, 5270, 12303, 8570, 12357, 12614, 12417, 10917, 12540, 20692, 6626, 12577, 16932, 12604, 16970, 1281, 12642, 21678, 13022, 13171, 5135, 13250])"
