test_number,algorithm,map_name,num_dims,heuristic_time,search_time,num_solutions,time_limit,start,goal,n_generated,n_expanded,timeout,num_nondom_labels_max,num_nondom_labels_avg
1,boa,simple map 8 dims,8,0.0,15.834,1621,600,1,81,9813,7766,0,-1.0,-1.0
1,emoa,simple map 8 dims,8,0.0,1.84,1621,600,1,81,9813,7766,0,-1.0,-1.0
2,boa,simple map 8 dims,8,0.0,11.927,1397,600,1,81,9013,7262,0,-1.0,-1.0
2,emoa,simple map 8 dims,8,0.0,1.349,1397,600,1,81,9013,7262,0,-1.0,-1.0
3,boa,simple map 8 dims,8,0.0,34.478,2586,600,1,81,13987,10795,0,-1.0,-1.0
3,emoa,simple map 8 dims,8,0.0,2.961,2586,600,1,81,13987,10795,0,-1.0,-1.0
4,boa,simple map 8 dims,8,0.0,9.112,1373,600,1,81,7770,5979,0,-1.0,-1.0
4,emoa,simple map 8 dims,8,0.0,1.116,1373,600,1,81,7770,5979,0,-1.0,-1.0
5,boa,simple map 8 dims,8,0.0,9.007,1267,600,1,81,6830,5206,0,-1.0,-1.0
5,emoa,simple map 8 dims,8,0.015,0.822,1267,600,1,81,6830,5206,0,-1.0,-1.0
6,boa,simple map 8 dims,8,0.0,8.329,1317,600,1,81,7050,5122,0,-1.0,-1.0
6,emoa,simple map 8 dims,8,0.0,0.902,1317,600,1,81,7050,5122,0,-1.0,-1.0
7,boa,simple map 8 dims,8,0.015,14.629,1474,600,1,81,10072,7679,0,-1.0,-1.0
7,emoa,simple map 8 dims,8,0.0,1.399,1474,600,1,81,10072,7679,0,-1.0,-1.0
8,boa,simple map 8 dims,8,0.005,13.62,1644,600,1,81,8105,6097,0,-1.0,-1.0
8,emoa,simple map 8 dims,8,0.0,1.248,1644,600,1,81,8105,6097,0,-1.0,-1.0
9,boa,simple map 8 dims,8,0.015,8.39,1296,600,1,81,7667,5884,0,-1.0,-1.0
9,emoa,simple map 8 dims,8,0.0,0.814,1296,600,1,81,7667,5884,0,-1.0,-1.0
10,boa,simple map 8 dims,8,0.0,83.777,4365,600,1,81,19376,14346,0,-1.0,-1.0
10,emoa,simple map 8 dims,8,0.0,8.06,4365,600,1,81,19376,14346,0,-1.0,-1.0
11,boa,simple map 8 dims,8,0.0,4.153,731,600,1,81,5440,4504,0,-1.0,-1.0
11,emoa,simple map 8 dims,8,0.002,0.571,731,600,1,81,5440,4504,0,-1.0,-1.0
12,boa,simple map 8 dims,8,0.0,39.174,3061,600,1,81,14974,11395,0,-1.0,-1.0
12,emoa,simple map 8 dims,8,0.006,6.181,3061,600,1,81,14974,11395,0,-1.0,-1.0
13,boa,simple map 8 dims,8,0.005,14.079,1894,600,1,81,9805,7106,0,-1.0,-1.0
13,emoa,simple map 8 dims,8,0.0,1.391,1894,600,1,81,9805,7106,0,-1.0,-1.0
14,boa,simple map 8 dims,8,0.0,78.301,4505,600,1,81,20919,15123,0,-1.0,-1.0
14,emoa,simple map 8 dims,8,0.0,6.39,4505,600,1,81,20919,15123,0,-1.0,-1.0
15,boa,simple map 8 dims,8,0.005,31.935,2653,600,1,81,12218,8888,0,-1.0,-1.0
15,emoa,simple map 8 dims,8,0.0,3.312,2653,600,1,81,12218,8888,0,-1.0,-1.0
16,boa,simple map 8 dims,8,0.0,2.926,661,600,1,81,4949,3961,0,-1.0,-1.0
16,emoa,simple map 8 dims,8,0.0,0.361,661,600,1,81,4949,3961,0,-1.0,-1.0
17,boa,simple map 8 dims,8,0.0,63.26,3751,600,1,81,17645,13141,0,-1.0,-1.0
17,emoa,simple map 8 dims,8,0.0,5.568,3751,600,1,81,17645,13141,0,-1.0,-1.0
18,boa,simple map 8 dims,8,0.0,12.626,1588,600,1,81,10604,8421,0,-1.0,-1.0
18,emoa,simple map 8 dims,8,0.0,1.189,1588,600,1,81,10604,8421,0,-1.0,-1.0
19,boa,simple map 8 dims,8,0.0,12.507,1236,600,1,81,7651,5873,0,-1.0,-1.0
19,emoa,simple map 8 dims,8,0.0,0.851,1236,600,1,81,7651,5873,0,-1.0,-1.0
20,boa,simple map 8 dims,8,0.006,9.21,1514,600,1,81,8449,6302,0,-1.0,-1.0
20,emoa,simple map 8 dims,8,0.0,1.052,1514,600,1,81,8449,6302,0,-1.0,-1.0
21,boa,simple map 8 dims,8,0.0,6.967,1058,600,1,81,5738,4510,0,-1.0,-1.0
21,emoa,simple map 8 dims,8,0.01,0.807,1058,600,1,81,5738,4510,0,-1.0,-1.0
22,boa,simple map 8 dims,8,0.0,25.675,2296,600,1,81,11616,8791,0,-1.0,-1.0
22,emoa,simple map 8 dims,8,0.0,2.63,2296,600,1,81,11616,8791,0,-1.0,-1.0
23,boa,simple map 8 dims,8,0.003,15.408,1540,600,1,81,9948,7863,0,-1.0,-1.0
23,emoa,simple map 8 dims,8,0.0,1.613,1540,600,1,81,9948,7863,0,-1.0,-1.0
24,boa,simple map 8 dims,8,0.003,9.91,1402,600,1,81,8529,6391,0,-1.0,-1.0
24,emoa,simple map 8 dims,8,0.0,0.907,1402,600,1,81,8529,6391,0,-1.0,-1.0
25,boa,simple map 8 dims,8,0.003,20.496,2106,600,1,81,11795,9076,0,-1.0,-1.0
25,emoa,simple map 8 dims,8,0.0,1.97,2106,600,1,81,11795,9076,0,-1.0,-1.0
