test_number,algorithm,map_name,num_dims,heuristic_time,search_time,num_solutions,time_limit,start,goal,n_generated,n_expanded,timeout,num_nondom_labels_max,num_nondom_labels_avg
1,boa,simple map 6 dims,6,0.005,18.853,2675,600,1,100,16249,12357,0,-1.0,-1.0
1,emoa,simple map 6 dims,6,0.0,2.306,2675,600,1,100,16249,12357,0,-1.0,-1.0
2,boa,simple map 6 dims,6,0.0,5.131,1067,600,1,100,8562,6545,0,-1.0,-1.0
2,emoa,simple map 6 dims,6,0.016,0.631,1067,600,1,100,8562,6545,0,-1.0,-1.0
3,boa,simple map 6 dims,6,0.0,2.541,813,600,1,100,7416,5372,0,-1.0,-1.0
3,emoa,simple map 6 dims,6,0.0,0.427,813,600,1,100,7416,5372,0,-1.0,-1.0
4,boa,simple map 6 dims,6,0.0,28.341,2555,600,1,100,15510,12115,0,-1.0,-1.0
4,emoa,simple map 6 dims,6,0.0,3.371,2555,600,1,100,15510,12115,0,-1.0,-1.0
5,boa,simple map 6 dims,6,0.0,4.802,1028,600,1,100,8413,6614,0,-1.0,-1.0
5,emoa,simple map 6 dims,6,0.0,0.632,1028,600,1,100,8413,6614,0,-1.0,-1.0
6,boa,simple map 6 dims,6,0.0,9.586,2007,600,1,100,11803,8830,0,-1.0,-1.0
6,emoa,simple map 6 dims,6,0.0,1.274,2007,600,1,100,11803,8830,0,-1.0,-1.0
7,boa,simple map 6 dims,6,0.0,14.666,2351,600,1,100,13220,10095,0,-1.0,-1.0
7,emoa,simple map 6 dims,6,0.0,1.707,2351,600,1,100,13220,10095,0,-1.0,-1.0
8,boa,simple map 6 dims,6,0.0,4.773,938,600,1,100,7137,5413,0,-1.0,-1.0
8,emoa,simple map 6 dims,6,0.0,0.49,938,600,1,100,7137,5413,0,-1.0,-1.0
9,boa,simple map 6 dims,6,0.0,70.1,4537,600,1,100,24539,18290,0,-1.0,-1.0
9,emoa,simple map 6 dims,6,0.0,6.938,4537,600,1,100,24539,18290,0,-1.0,-1.0
10,boa,simple map 6 dims,6,0.0,4.805,1132,600,1,100,7452,5597,0,-1.0,-1.0
10,emoa,simple map 6 dims,6,0.0,0.601,1132,600,1,100,7452,5597,0,-1.0,-1.0
11,boa,simple map 6 dims,6,0.0,9.428,1630,600,1,100,9701,7661,0,-1.0,-1.0
11,emoa,simple map 6 dims,6,0.0,1.401,1630,600,1,100,9701,7661,0,-1.0,-1.0
12,boa,simple map 6 dims,6,0.0,14.065,1740,600,1,100,11106,8857,0,-1.0,-1.0
12,emoa,simple map 6 dims,6,0.0,1.431,1740,600,1,100,11106,8857,0,-1.0,-1.0
13,boa,simple map 6 dims,6,0.016,7.031,1083,600,1,100,8002,6413,0,-1.0,-1.0
13,emoa,simple map 6 dims,6,0.0,0.718,1083,600,1,100,8002,6413,0,-1.0,-1.0
14,boa,simple map 6 dims,6,0.0,58.034,3987,600,1,100,22107,17062,0,-1.0,-1.0
14,emoa,simple map 6 dims,6,0.0,5.37,3987,600,1,100,22107,17062,0,-1.0,-1.0
15,boa,simple map 6 dims,6,0.0,2.299,581,600,1,100,5591,4435,0,-1.0,-1.0
15,emoa,simple map 6 dims,6,0.0,0.332,581,600,1,100,5591,4435,0,-1.0,-1.0
16,boa,simple map 6 dims,6,0.007,32.0,2920,600,1,100,15796,11947,0,-1.0,-1.0
16,emoa,simple map 6 dims,6,0.0,2.813,2920,600,1,100,15796,11947,0,-1.0,-1.0
17,boa,simple map 6 dims,6,0.0,6.589,1270,600,1,100,8348,6478,0,-1.0,-1.0
17,emoa,simple map 6 dims,6,0.0,0.88,1270,600,1,100,8348,6478,0,-1.0,-1.0
18,boa,simple map 6 dims,6,0.0,13.781,1751,600,1,100,13051,10144,0,-1.0,-1.0
18,emoa,simple map 6 dims,6,0.0,1.455,1751,600,1,100,13051,10144,0,-1.0,-1.0
19,boa,simple map 6 dims,6,0.0,15.263,2234,600,1,100,15591,11719,0,-1.0,-1.0
19,emoa,simple map 6 dims,6,0.0,1.66,2234,600,1,100,15591,11719,0,-1.0,-1.0
20,boa,simple map 6 dims,6,0.0,20.998,1906,600,1,100,13367,10556,0,-1.0,-1.0
20,emoa,simple map 6 dims,6,0.0,1.818,1906,600,1,100,13367,10556,0,-1.0,-1.0
21,boa,simple map 6 dims,6,0.0,8.561,1551,600,1,100,10317,8089,0,-1.0,-1.0
21,emoa,simple map 6 dims,6,0.016,1.09,1551,600,1,100,10317,8089,0,-1.0,-1.0
22,boa,simple map 6 dims,6,0.0,6.096,1257,600,1,100,7947,6016,0,-1.0,-1.0
22,emoa,simple map 6 dims,6,0.0,0.739,1257,600,1,100,7947,6016,0,-1.0,-1.0
23,boa,simple map 6 dims,6,0.0,3.976,724,600,1,100,6920,5473,0,-1.0,-1.0
23,emoa,simple map 6 dims,6,0.005,0.357,724,600,1,100,6920,5473,0,-1.0,-1.0
24,boa,simple map 6 dims,6,0.0,2.76,417,600,1,100,3790,2960,0,-1.0,-1.0
24,emoa,simple map 6 dims,6,0.0,0.237,417,600,1,100,3790,2960,0,-1.0,-1.0
25,boa,simple map 6 dims,6,0.0,5.778,1074,600,1,100,7819,5990,0,-1.0,-1.0
25,emoa,simple map 6 dims,6,0.0,0.818,1074,600,1,100,7819,5990,0,-1.0,-1.0
26,boa,simple map 6 dims,6,0.015,20.31,2168,600,1,100,14803,11847,0,-1.0,-1.0
26,emoa,simple map 6 dims,6,0.0,2.209,2168,600,1,100,14803,11847,0,-1.0,-1.0
27,boa,simple map 6 dims,6,0.0,5.804,1096,600,1,100,7430,5904,0,-1.0,-1.0
27,emoa,simple map 6 dims,6,0.0,0.782,1096,600,1,100,7430,5904,0,-1.0,-1.0
28,boa,simple map 6 dims,6,0.0,11.384,1422,600,1,100,11638,9447,0,-1.0,-1.0
28,emoa,simple map 6 dims,6,0.0,1.15,1422,600,1,100,11638,9447,0,-1.0,-1.0
29,boa,simple map 6 dims,6,0.0,3.404,887,600,1,100,7377,5762,0,-1.0,-1.0
29,emoa,simple map 6 dims,6,0.0,0.472,887,600,1,100,7377,5762,0,-1.0,-1.0
30,boa,simple map 6 dims,6,0.009,2.892,778,600,1,100,5652,4394,0,-1.0,-1.0
30,emoa,simple map 6 dims,6,0.0,0.48,778,600,1,100,5652,4394,0,-1.0,-1.0
31,boa,simple map 6 dims,6,0.002,2.006,491,600,1,100,3334,2716,0,-1.0,-1.0
31,emoa,simple map 6 dims,6,0.0,0.253,491,600,1,100,3334,2716,0,-1.0,-1.0
32,boa,simple map 6 dims,6,0.005,3.653,889,600,1,100,6222,4689,0,-1.0,-1.0
32,emoa,simple map 6 dims,6,0.0,0.412,889,600,1,100,6222,4689,0,-1.0,-1.0
33,boa,simple map 6 dims,6,0.0,9.84,1538,600,1,100,10097,7808,0,-1.0,-1.0
33,emoa,simple map 6 dims,6,0.0,0.961,1538,600,1,100,10097,7808,0,-1.0,-1.0
34,boa,simple map 6 dims,6,0.0,29.586,2802,600,1,100,16884,12896,0,-1.0,-1.0
34,emoa,simple map 6 dims,6,0.0,3.014,2802,600,1,100,16884,12896,0,-1.0,-1.0
35,boa,simple map 6 dims,6,0.0,15.73,2414,600,1,100,16707,12406,0,-1.0,-1.0
35,emoa,simple map 6 dims,6,0.0,1.844,2414,600,1,100,16707,12406,0,-1.0,-1.0
36,boa,simple map 6 dims,6,0.001,5.299,1397,600,1,100,9411,6956,0,-1.0,-1.0
36,emoa,simple map 6 dims,6,0.0,0.726,1397,600,1,100,9411,6956,0,-1.0,-1.0
37,boa,simple map 6 dims,6,0.0,5.252,1178,600,1,100,8839,6976,0,-1.0,-1.0
37,emoa,simple map 6 dims,6,0.0,0.663,1178,600,1,100,8839,6976,0,-1.0,-1.0
38,boa,simple map 6 dims,6,0.0,4.695,1035,600,1,100,6657,5028,0,-1.0,-1.0
38,emoa,simple map 6 dims,6,0.0,0.609,1035,600,1,100,6657,5028,0,-1.0,-1.0
39,boa,simple map 6 dims,6,0.0,1.827,616,600,1,100,4086,3174,0,-1.0,-1.0
39,emoa,simple map 6 dims,6,0.0,0.314,616,600,1,100,4086,3174,0,-1.0,-1.0
40,boa,simple map 6 dims,6,0.0,8.654,1257,600,1,100,11421,9193,0,-1.0,-1.0
40,emoa,simple map 6 dims,6,0.0,1.028,1257,600,1,100,11421,9193,0,-1.0,-1.0
41,boa,simple map 6 dims,6,0.0,2.685,778,600,1,100,6055,4581,0,-1.0,-1.0
41,emoa,simple map 6 dims,6,0.015,0.333,778,600,1,100,6055,4581,0,-1.0,-1.0
