test_number,algorithm,map_name,num_dims,heuristic_time,search_time,num_solutions,time_limit,start,goal,n_generated,n_expanded,timeout,num_nondom_labels_max,num_nondom_labels_avg
1,boa,simple map 6 dims,6,0.0,24.997,2982,600,1,100,19965,14948,0,-1.0,-1.0
1,emoa,simple map 6 dims,6,0.0,2.65,2982,600,1,100,19965,14948,0,-1.0,-1.0
2,boa,simple map 6 dims,6,0.0,37.651,2883,600,1,100,19295,14911,0,-1.0,-1.0
2,emoa,simple map 6 dims,6,0.0,3.395,2883,600,1,100,19295,14911,0,-1.0,-1.0
3,boa,simple map 6 dims,6,0.005,34.081,3883,600,1,100,21579,15965,0,-1.0,-1.0
3,emoa,simple map 6 dims,6,0.0,3.444,3883,600,1,100,21579,15965,0,-1.0,-1.0
4,boa,simple map 6 dims,6,0.0,10.688,2152,600,1,100,13253,9902,0,-1.0,-1.0
4,emoa,simple map 6 dims,6,0.0,2.768,2152,600,1,100,13253,9902,0,-1.0,-1.0
5,boa,simple map 6 dims,6,0.0,14.212,2344,600,1,100,16566,12673,0,-1.0,-1.0
5,emoa,simple map 6 dims,6,0.0,1.892,2344,600,1,100,16566,12673,0,-1.0,-1.0
6,boa,simple map 6 dims,6,0.016,12.419,1441,600,1,100,10942,8676,0,-1.0,-1.0
6,emoa,simple map 6 dims,6,0.0,1.531,1441,600,1,100,10942,8676,0,-1.0,-1.0
7,boa,simple map 6 dims,6,0.0,12.399,1578,600,1,100,12602,10079,0,-1.0,-1.0
7,emoa,simple map 6 dims,6,0.0,1.531,1578,600,1,100,12602,10079,0,-1.0,-1.0
8,boa,simple map 6 dims,6,0.0,4.302,1119,600,1,100,7927,5929,0,-1.0,-1.0
8,emoa,simple map 6 dims,6,0.0,0.516,1119,600,1,100,7927,5929,0,-1.0,-1.0
9,boa,simple map 6 dims,6,0.0,67.156,4847,600,1,100,31466,23674,0,-1.0,-1.0
9,emoa,simple map 6 dims,6,0.0,6.144,4847,600,1,100,31466,23674,0,-1.0,-1.0
10,boa,simple map 6 dims,6,0.0,9.174,1622,600,1,100,14029,10755,0,-1.0,-1.0
10,emoa,simple map 6 dims,6,0.0,1.312,1622,600,1,100,14029,10755,0,-1.0,-1.0
11,boa,simple map 6 dims,6,0.0,48.924,3745,600,1,100,22462,17391,0,-1.0,-1.0
11,emoa,simple map 6 dims,6,0.003,4.341,3745,600,1,100,22462,17391,0,-1.0,-1.0
12,boa,simple map 6 dims,6,0.0,14.107,1816,600,1,100,12959,9959,0,-1.0,-1.0
12,emoa,simple map 6 dims,6,0.008,1.534,1816,600,1,100,12959,9959,0,-1.0,-1.0
13,boa,simple map 6 dims,6,0.002,35.487,2940,600,1,100,19893,15685,0,-1.0,-1.0
13,emoa,simple map 6 dims,6,0.0,3.836,2940,600,1,100,19893,15685,0,-1.0,-1.0
14,boa,simple map 6 dims,6,0.0,48.615,3272,600,1,100,19141,14986,0,-1.0,-1.0
14,emoa,simple map 6 dims,6,0.0,4.289,3272,600,1,100,19141,14986,0,-1.0,-1.0
15,boa,simple map 6 dims,6,0.001,20.435,2516,600,1,100,17924,13497,0,-1.0,-1.0
15,emoa,simple map 6 dims,6,0.0,2.208,2516,600,1,100,17924,13497,0,-1.0,-1.0
16,boa,simple map 6 dims,6,0.0,20.957,2277,600,1,100,15461,11829,0,-1.0,-1.0
16,emoa,simple map 6 dims,6,0.0,2.651,2277,600,1,100,15461,11829,0,-1.0,-1.0
17,boa,simple map 6 dims,6,0.0,15.104,1963,600,1,100,16066,12308,0,-1.0,-1.0
17,emoa,simple map 6 dims,6,0.0,1.753,1963,600,1,100,16066,12308,0,-1.0,-1.0
18,boa,simple map 6 dims,6,0.011,25.748,2959,600,1,100,19990,14775,0,-1.0,-1.0
18,emoa,simple map 6 dims,6,0.0,1.943,2959,600,1,100,19990,14775,0,-1.0,-1.0
19,boa,simple map 6 dims,6,0.017,67.625,3667,600,1,100,21147,16419,0,-1.0,-1.0
19,emoa,simple map 6 dims,6,0.0,5.727,3667,600,1,100,21147,16419,0,-1.0,-1.0
20,boa,simple map 6 dims,6,0.0,11.111,1429,600,1,100,10355,8312,0,-1.0,-1.0
20,emoa,simple map 6 dims,6,0.0,1.42,1429,600,1,100,10355,8312,0,-1.0,-1.0
21,boa,simple map 6 dims,6,0.004,24.795,2607,600,1,100,15629,12076,0,-1.0,-1.0
21,emoa,simple map 6 dims,6,0.0,2.238,2607,600,1,100,15629,12076,0,-1.0,-1.0
22,boa,simple map 6 dims,6,0.0,35.917,3369,600,1,100,24045,18513,0,-1.0,-1.0
