test_number,algorithm,map_name,num_dims,heuristic_time,search_time,num_solutions,time_limit,start,goal,n_generated,n_expanded,timeout,num_nondom_labels_max,num_nondom_labels_avg
1,boa,simple map 7 dims,7,0.004,10.998,1419,600,1,81,8428,6531,0,-1.0,-1.0
1,emoa,simple map 7 dims,7,0.0,0.991,1419,600,1,81,8428,6531,0,-1.0,-1.0
2,boa,simple map 7 dims,7,0.002,12.034,1658,600,1,81,8846,6500,0,-1.0,-1.0
2,emoa,simple map 7 dims,7,0.0,1.29,1658,600,1,81,8846,6500,0,-1.0,-1.0
3,boa,simple map 7 dims,7,0.001,0.698,378,600,1,81,3093,2332,0,-1.0,-1.0
3,emoa,simple map 7 dims,7,0.0,0.11,378,600,1,81,3093,2332,0,-1.0,-1.0
4,boa,simple map 7 dims,7,0.0,36.132,3050,600,1,81,16942,12794,0,-1.0,-1.0
4,emoa,simple map 7 dims,7,0.0,3.812,3050,600,1,81,16942,12794,0,-1.0,-1.0
5,boa,simple map 7 dims,7,0.001,14.716,1669,600,1,81,8870,6422,0,-1.0,-1.0
5,emoa,simple map 7 dims,7,0.016,1.242,1669,600,1,81,8870,6422,0,-1.0,-1.0
6,boa,simple map 7 dims,7,0.003,10.375,1556,600,1,81,8078,6101,0,-1.0,-1.0
6,emoa,simple map 7 dims,7,0.002,1.068,1556,600,1,81,8078,6101,0,-1.0,-1.0
7,boa,simple map 7 dims,7,0.003,16.44,1560,600,1,81,8635,6689,0,-1.0,-1.0
7,emoa,simple map 7 dims,7,0.0,1.401,1560,600,1,81,8635,6689,0,-1.0,-1.0
8,boa,simple map 7 dims,7,0.004,10.542,1697,600,1,81,10504,7747,0,-1.0,-1.0
8,emoa,simple map 7 dims,7,0.016,1.23,1697,600,1,81,10504,7747,0,-1.0,-1.0
9,boa,simple map 7 dims,7,0.002,3.677,894,600,1,81,5730,4211,0,-1.0,-1.0
9,emoa,simple map 7 dims,7,0.002,0.515,894,600,1,81,5730,4211,0,-1.0,-1.0
10,boa,simple map 7 dims,7,0.0,10.295,1640,600,1,81,8419,6366,0,-1.0,-1.0
10,emoa,simple map 7 dims,7,0.0,1.022,1640,600,1,81,8419,6366,0,-1.0,-1.0
11,boa,simple map 7 dims,7,0.0,4.805,926,600,1,81,5814,4569,0,-1.0,-1.0
11,emoa,simple map 7 dims,7,0.002,0.681,926,600,1,81,5814,4569,0,-1.0,-1.0
12,boa,simple map 7 dims,7,0.0,14.458,1678,600,1,81,8810,6561,0,-1.0,-1.0
12,emoa,simple map 7 dims,7,0.0,1.667,1678,600,1,81,8810,6561,0,-1.0,-1.0
13,boa,simple map 7 dims,7,0.0,14.467,1824,600,1,81,9958,7420,0,-1.0,-1.0
13,emoa,simple map 7 dims,7,0.003,1.708,1824,600,1,81,9958,7420,0,-1.0,-1.0
14,boa,simple map 7 dims,7,0.0,11.495,1655,600,1,81,8730,6622,0,-1.0,-1.0
14,emoa,simple map 7 dims,7,0.0,1.037,1655,600,1,81,8730,6622,0,-1.0,-1.0
15,boa,simple map 7 dims,7,0.016,4.801,966,600,1,81,6845,5104,0,-1.0,-1.0
15,emoa,simple map 7 dims,7,0.003,0.602,966,600,1,81,6845,5104,0,-1.0,-1.0
16,boa,simple map 7 dims,7,0.0,6.47,1144,600,1,81,6876,5111,0,-1.0,-1.0
16,emoa,simple map 7 dims,7,0.0,0.753,1144,600,1,81,6876,5111,0,-1.0,-1.0
17,boa,simple map 7 dims,7,0.0,6.148,1055,600,1,81,6213,4681,0,-1.0,-1.0
17,emoa,simple map 7 dims,7,0.003,0.825,1055,600,1,81,6213,4681,0,-1.0,-1.0
18,boa,simple map 7 dims,7,0.004,12.145,1696,600,1,81,8836,6461,0,-1.0,-1.0
18,emoa,simple map 7 dims,7,0.0,1.355,1696,600,1,81,8836,6461,0,-1.0,-1.0
19,boa,simple map 7 dims,7,0.0,7.045,1096,600,1,81,6812,5469,0,-1.0,-1.0
19,emoa,simple map 7 dims,7,0.0,0.862,1096,600,1,81,6812,5469,0,-1.0,-1.0
20,boa,simple map 7 dims,7,0.002,1.122,428,600,1,81,3399,2788,0,-1.0,-1.0
20,emoa,simple map 7 dims,7,0.003,0.199,428,600,1,81,3399,2788,0,-1.0,-1.0
21,boa,simple map 7 dims,7,0.0,9.958,1605,600,1,81,9793,7639,0,-1.0,-1.0
21,emoa,simple map 7 dims,7,0.0,1.102,1605,600,1,81,9793,7639,0,-1.0,-1.0
22,boa,simple map 7 dims,7,0.0,5.163,956,600,1,81,6271,5014,0,-1.0,-1.0
22,emoa,simple map 7 dims,7,0.002,0.577,956,600,1,81,6271,5014,0,-1.0,-1.0
23,boa,simple map 7 dims,7,0.0,29.384,2722,600,1,81,14829,11092,0,-1.0,-1.0
23,emoa,simple map 7 dims,7,0.0,2.803,2722,600,1,81,14829,11092,0,-1.0,-1.0
24,boa,simple map 7 dims,7,0.0,7.367,1331,600,1,81,7151,5380,0,-1.0,-1.0
24,emoa,simple map 7 dims,7,0.0,0.91,1331,600,1,81,7151,5380,0,-1.0,-1.0
25,boa,simple map 7 dims,7,0.0,9.326,1502,600,1,81,8386,6093,0,-1.0,-1.0
25,emoa,simple map 7 dims,7,0.0,1.02,1502,600,1,81,8386,6093,0,-1.0,-1.0
26,boa,simple map 7 dims,7,0.0,16.804,1779,600,1,81,9372,7096,0,-1.0,-1.0
26,emoa,simple map 7 dims,7,0.0,1.729,1779,600,1,81,9372,7096,0,-1.0,-1.0
