test_number,algorithm,map_name,num_dims,heuristic_time,search_time,num_solutions,time_limit,start,goal,n_generated,n_expanded,timeout,num_nondom_labels_max,num_nondom_labels_avg
1,boa,simple map 7 dims,7,0.015,73.545,4377,600,1,81,21739,16096,0,-1.0,-1.0
1,emoa,simple map 7 dims,7,0.0,6.056,4377,600,1,81,21739,16096,0,-1.0,-1.0
2,boa,simple map 7 dims,7,0.0,32.971,2961,600,1,81,16678,12720,0,-1.0,-1.0
2,emoa,simple map 7 dims,7,0.0,3.07,2961,600,1,81,16678,12720,0,-1.0,-1.0
3,boa,simple map 7 dims,7,0.0,38.872,2983,600,1,81,15513,11802,0,-1.0,-1.0
3,emoa,simple map 7 dims,7,0.0,4.764,2983,600,1,81,15513,11802,0,-1.0,-1.0
4,boa,simple map 7 dims,7,0.0,34.702,2907,600,1,81,15694,11982,0,-1.0,-1.0
4,emoa,simple map 7 dims,7,0.0,4.186,2907,600,1,81,15694,11982,0,-1.0,-1.0
5,boa,simple map 7 dims,7,0.0,1.707,617,600,1,81,4019,3052,0,-1.0,-1.0
5,emoa,simple map 7 dims,7,0.0,0.283,617,600,1,81,4019,3052,0,-1.0,-1.0
6,boa,simple map 7 dims,7,0.0,31.892,2788,600,1,81,16690,12545,0,-1.0,-1.0
6,emoa,simple map 7 dims,7,0.0,2.626,2788,600,1,81,16690,12545,0,-1.0,-1.0
7,boa,simple map 7 dims,7,0.015,32.78,2937,600,1,81,18187,13494,0,-1.0,-1.0
7,emoa,simple map 7 dims,7,0.0,3.175,2937,600,1,81,18187,13494,0,-1.0,-1.0
8,boa,simple map 7 dims,7,0.015,33.801,3130,600,1,81,15861,11818,0,-1.0,-1.0
8,emoa,simple map 7 dims,7,0.0,2.935,3130,600,1,81,15861,11818,0,-1.0,-1.0
9,boa,simple map 7 dims,7,0.016,18.419,2023,600,1,81,11650,8943,0,-1.0,-1.0
9,emoa,simple map 7 dims,7,0.0,2.328,2023,600,1,81,11650,8943,0,-1.0,-1.0
10,boa,simple map 7 dims,7,0.0,43.144,3345,600,1,81,16806,12777,0,-1.0,-1.0
10,emoa,simple map 7 dims,7,0.0,5.206,3345,600,1,81,16806,12777,0,-1.0,-1.0
11,boa,simple map 7 dims,7,0.0,24.367,2397,600,1,81,13807,10423,0,-1.0,-1.0
11,emoa,simple map 7 dims,7,0.0,1.947,2397,600,1,81,13807,10423,0,-1.0,-1.0
12,boa,simple map 7 dims,7,0.0,23.026,2514,600,1,81,13564,10138,0,-1.0,-1.0
12,emoa,simple map 7 dims,7,0.0,2.486,2514,600,1,81,13564,10138,0,-1.0,-1.0
13,boa,simple map 7 dims,7,0.015,34.151,3210,600,1,81,16718,12205,0,-1.0,-1.0
13,emoa,simple map 7 dims,7,0.0,3.255,3210,600,1,81,16718,12205,0,-1.0,-1.0
14,boa,simple map 7 dims,7,0.0,37.194,3195,600,1,81,16466,12393,0,-1.0,-1.0
14,emoa,simple map 7 dims,7,0.0,3.674,3195,600,1,81,16466,12393,0,-1.0,-1.0
15,boa,simple map 7 dims,7,0.0,7.597,1341,600,1,81,8570,6554,0,-1.0,-1.0
15,emoa,simple map 7 dims,7,0.0,0.944,1341,600,1,81,8570,6554,0,-1.0,-1.0
16,boa,simple map 7 dims,7,0.012,37.287,3131,600,1,81,16992,12612,0,-1.0,-1.0
16,emoa,simple map 7 dims,7,0.0,3.604,3131,600,1,81,16992,12612,0,-1.0,-1.0
17,boa,simple map 7 dims,7,0.0,38.908,3197,600,1,81,17115,12799,0,-1.0,-1.0
17,emoa,simple map 7 dims,7,0.0,4.461,3197,600,1,81,17115,12799,0,-1.0,-1.0
18,boa,simple map 7 dims,7,0.0,21.59,2532,600,1,81,14016,10516,0,-1.0,-1.0
18,emoa,simple map 7 dims,7,0.001,2.358,2532,600,1,81,14016,10516,0,-1.0,-1.0
19,boa,simple map 7 dims,7,0.0,11.883,1641,600,1,81,9183,6548,0,-1.0,-1.0
19,emoa,simple map 7 dims,7,0.0,1.069,1641,600,1,81,9183,6548,0,-1.0,-1.0
20,boa,simple map 7 dims,7,0.0,26.695,2461,600,1,81,13705,10350,0,-1.0,-1.0
20,emoa,simple map 7 dims,7,0.0,2.514,2461,600,1,81,13705,10350,0,-1.0,-1.0
21,boa,simple map 7 dims,7,0.0,33.595,2747,600,1,81,16455,12684,0,-1.0,-1.0
21,emoa,simple map 7 dims,7,0.0,3.409,2747,600,1,81,16455,12684,0,-1.0,-1.0
22,boa,simple map 7 dims,7,0.0,39.561,2846,600,1,81,15270,11661,0,-1.0,-1.0
22,emoa,simple map 7 dims,7,0.015,3.557,2846,600,1,81,15270,11661,0,-1.0,-1.0
23,boa,simple map 7 dims,7,0.012,24.911,2623,600,1,81,13338,9893,0,-1.0,-1.0
23,emoa,simple map 7 dims,7,0.0,2.593,2623,600,1,81,13338,9893,0,-1.0,-1.0
24,boa,simple map 7 dims,7,0.0,41.05,3230,600,1,81,20339,15093,0,-1.0,-1.0
24,emoa,simple map 7 dims,7,0.0,4.485,3230,600,1,81,20339,15093,0,-1.0,-1.0
25,boa,simple map 7 dims,7,0.0,77.206,4275,600,1,81,22013,16458,0,-1.0,-1.0
25,emoa,simple map 7 dims,7,0.0,5.859,4275,600,1,81,22013,16458,0,-1.0,-1.0
26,boa,simple map 7 dims,7,0.0,11.655,1617,600,1,81,8880,6661,0,-1.0,-1.0
26,emoa,simple map 7 dims,7,0.0,1.178,1617,600,1,81,8880,6661,0,-1.0,-1.0
27,boa,simple map 7 dims,7,0.0,10.463,1556,600,1,81,8895,6464,0,-1.0,-1.0
27,emoa,simple map 7 dims,7,0.015,1.274,1556,600,1,81,8895,6464,0,-1.0,-1.0
28,boa,simple map 7 dims,7,0.0,19.818,2671,600,1,81,14180,10005,0,-1.0,-1.0
28,emoa,simple map 7 dims,7,0.008,1.744,2671,600,1,81,14180,10005,0,-1.0,-1.0
29,boa,simple map 7 dims,7,0.0,23.907,2395,600,1,81,12884,9688,0,-1.0,-1.0
29,emoa,simple map 7 dims,7,0.015,2.57,2395,600,1,81,12884,9688,0,-1.0,-1.0
