test_number,algorithm,map_name,num_dims,heuristic_time,search_time,num_solutions,time_limit,start,goal,n_generated,n_expanded,timeout,num_nondom_labels_max,num_nondom_labels_avg
1,boa,simple map 7 dims,7,0.0,1.087,429,600,1,81,2563,1980,0,-1.0,-1.0
1,emoa,simple map 7 dims,7,0.0,0.172,429,600,1,81,2563,1980,0,-1.0,-1.0
2,boa,simple map 7 dims,7,0.001,11.298,1745,600,1,81,7445,5373,0,-1.0,-1.0
2,emoa,simple map 7 dims,7,0.0,1.01,1745,600,1,81,7445,5373,0,-1.0,-1.0
3,boa,simple map 7 dims,7,0.0,1.225,333,600,1,81,2444,2001,0,-1.0,-1.0
3,emoa,simple map 7 dims,7,0.0,0.189,333,600,1,81,2444,2001,0,-1.0,-1.0
4,boa,simple map 7 dims,7,0.003,4.286,802,600,1,81,5255,4125,0,-1.0,-1.0
4,emoa,simple map 7 dims,7,0.0,0.452,802,600,1,81,5255,4125,0,-1.0,-1.0
5,boa,simple map 7 dims,7,0.015,1.516,557,600,1,81,3593,2640,0,-1.0,-1.0
5,emoa,simple map 7 dims,7,0.0,0.212,557,600,1,81,3593,2640,0,-1.0,-1.0
6,boa,simple map 7 dims,7,0.0,1.738,507,600,1,81,3275,2484,0,-1.0,-1.0
6,emoa,simple map 7 dims,7,0.002,0.35,507,600,1,81,3275,2484,0,-1.0,-1.0
7,boa,simple map 7 dims,7,0.002,2.389,603,600,1,81,3956,3018,0,-1.0,-1.0
7,emoa,simple map 7 dims,7,0.002,0.305,603,600,1,81,3956,3018,0,-1.0,-1.0
8,boa,simple map 7 dims,7,0.002,5.395,1392,600,1,81,6932,4946,0,-1.0,-1.0
8,emoa,simple map 7 dims,7,0.0,0.645,1392,600,1,81,6932,4946,0,-1.0,-1.0
9,boa,simple map 7 dims,7,0.0,4.657,1229,600,1,81,6052,4419,0,-1.0,-1.0
9,emoa,simple map 7 dims,7,0.002,0.706,1229,600,1,81,6052,4419,0,-1.0,-1.0
10,boa,simple map 7 dims,7,0.002,1.998,468,600,1,81,3645,2947,0,-1.0,-1.0
10,emoa,simple map 7 dims,7,0.0,0.297,468,600,1,81,3645,2947,0,-1.0,-1.0
11,boa,simple map 7 dims,7,0.0,1.655,515,600,1,81,3518,2597,0,-1.0,-1.0
11,emoa,simple map 7 dims,7,0.005,0.252,515,600,1,81,3518,2597,0,-1.0,-1.0
12,boa,simple map 7 dims,7,0.0,2.725,698,600,1,81,4699,3589,0,-1.0,-1.0
12,emoa,simple map 7 dims,7,0.015,0.381,698,600,1,81,4699,3589,0,-1.0,-1.0
13,boa,simple map 7 dims,7,0.0,2.582,656,600,1,81,5264,4034,0,-1.0,-1.0
13,emoa,simple map 7 dims,7,0.017,0.348,656,600,1,81,5264,4034,0,-1.0,-1.0
14,boa,simple map 7 dims,7,0.0,2.203,654,600,1,81,4082,3086,0,-1.0,-1.0
14,emoa,simple map 7 dims,7,0.0,0.329,654,600,1,81,4082,3086,0,-1.0,-1.0
15,boa,simple map 7 dims,7,0.0,0.804,322,600,1,81,2465,1961,0,-1.0,-1.0
15,emoa,simple map 7 dims,7,0.015,0.111,322,600,1,81,2465,1961,0,-1.0,-1.0
16,boa,simple map 7 dims,7,0.0,2.209,667,600,1,81,4214,3226,0,-1.0,-1.0
